date,open,high,low,close,volume_usd
2026-02-08,4.47390657782038e-06,4.61907300898898e-06,4.43421797974205e-06,4.52035836144336e-06,139.86952489737996
2026-02-09,4.52035836144336e-06,4.66189227254056e-06,4.35704453460717e-06,4.43462505607642e-06,165.04983774437736
2026-02-10,4.43462505607642e-06,4.43462505607642e-06,4.16565862393416e-06,4.25238965253015e-06,86.14079841820265
2026-02-11,4.25238965253015e-06,7.29497543712926e-06,4.03648239724857e-06,5.20017524657848e-06,5707.822364632943
2026-02-12,5.20017524657848e-06,6.7072810830971e-06,5.1291928197809e-06,6.02265075019531e-06,2150.611466421492
2026-02-13,6.02265075019531e-06,9.71128648339097e-06,6.02265075019531e-06,7.71019426473117e-06,5186.137354889128
2026-02-14,7.71019426473117e-06,7.85596969512445e-06,5.63712853149809e-06,6.42593539804836e-06,1709.011054432916
2026-02-15,6.42593539804836e-06,9.33959654138103e-06,6.42593539804836e-06,6.83481843913777e-06,2645.276749383168
2026-02-16,6.83481843913777e-06,6.83481843913777e-06,6.63772086789461e-06,6.83004384243803e-06,265.3275219321891
2026-02-17,6.83004384243803e-06,6.84874173870869e-06,6.4733148694662e-06,6.4733148694662e-06,145.9787761246706
2026-02-18,6.4733148694662e-06,6.56208977114367e-06,5.96608353969998e-06,5.96608353969998e-06,344.3041374112651
2026-02-19,5.96608353969998e-06,6.74620362960817e-06,5.91916961681139e-06,6.64791216933964e-06,478.92267654578905
2026-02-20,6.64791216933964e-06,6.83249339900657e-06,6.47200800819518e-06,6.68064918548051e-06,78.99299153983347
2026-02-21,6.68064918548051e-06,6.71416213882657e-06,6.56122575392981e-06,6.70193072320355e-06,100.16729555109613
2026-02-22,6.70193072320355e-06,6.70193072320355e-06,6.23012875327897e-06,6.23012875327897e-06,121.57442616329443
2026-02-23,6.23012875327897e-06,6.26178595196537e-06,5.82420322901913e-06,5.85657053561578e-06,252.17791963012522
