date,open,high,low,close,volume_usd
2026-01-04,0.000116329922216059,0.000116329922216059,0.000109707634642691,0.000112663986858143,1422.980405564647
2026-01-05,0.000112663986858143,0.0001139452094023,0.000104633624175239,0.000108695871868972,1413.4219396881942
2026-01-06,0.000108695871868972,0.000116642631054775,0.000108695871868972,0.000116642631054775,1268.0483596717281
2026-01-07,0.000116642631054775,0.000116642631054775,0.000107844371472607,0.000109685802584406,299.1422610198407
2026-01-08,0.000109685802584406,0.000109685802584406,9.39894589917607e-05,0.000101711184245984,2416.800230956927
2026-01-09,0.000101711184245984,0.000102638473768933,9.8245305038637e-05,9.90381607158846e-05,889.1916839818152
2026-01-10,9.90381607158846e-05,0.00011933674215773,9.86834132147211e-05,0.000116046763693519,2688.1906702150836
2026-01-11,0.000116046763693519,0.000122564343083862,0.000114692668811456,0.000121711989313531,1120.871245151442
2026-01-12,0.000121711989313531,0.000124637152453039,0.00012137337185822,0.000124251292323157,314.8056505042862
2026-01-13,0.000124251292323157,0.000129671878789743,0.000124251292323157,0.00012883518951083,848.7320019680297
2026-01-14,0.00012883518951083,0.000133901991567775,0.000125166267189879,0.000125606164973244,2693.0748144238137
2026-01-15,0.000125606164973244,0.000135525508806122,0.000115324313237867,0.000128253775118942,4678.816604105097
2026-01-16,0.000128253775118942,0.000128254544757072,0.000121705382494746,0.000124851585626074,1244.114135550017
2026-01-17,0.000124851585626074,0.000128955213332947,0.000121970457495041,0.000128955213332947,769.0010535131427
2026-01-18,0.000128955213332947,0.000128955213332947,0.00012541249493866,0.000125652055517899,319.55092801533476
2026-01-19,0.000125652055517899,0.000125652055517899,0.000118283746540311,0.000118283746540311,323.19116441744717
2026-01-20,0.000118283746540311,0.000120280351907525,0.000117380851185508,0.000119081186024272,1185.3383578805208
2026-01-21,0.000119081186024272,0.000119245392024128,0.000115206764863348,0.000119245392024128,118.87334900563799
2026-01-22,0.000119245392024128,0.000119245392024128,8.98038205878134e-05,9.19539533288237e-05,3834.255773370458
2026-01-23,9.19539533288237e-05,9.19539533288237e-05,8.80807131480673e-05,8.80807131480673e-05,944.3203422353965
2026-01-24,8.80807131480673e-05,9.17287200912639e-05,8.6761317628003e-05,8.906101606225e-05,998.8125456122601
2026-01-25,8.906101606225e-05,8.906101606225e-05,8.36504270660428e-05,8.36504270660428e-05,503.9504641403476
2026-01-26,8.36504270660428e-05,8.8179561042491e-05,8.14766019414368e-05,8.7130852764405e-05,976.5845647483982
2026-01-27,8.7130852764405e-05,8.7130852764405e-05,8.11322923581673e-05,8.2529674026526e-05,1332.9525869975607
2026-01-28,8.2529674026526e-05,8.34146035304279e-05,8.05272555427045e-05,8.12939644347144e-05,202.78796989224753
2026-01-29,8.12939644347144e-05,8.12939644347144e-05,7.18830769031856e-05,7.21150025849876e-05,1092.6700386747273
2026-01-30,7.21150025849876e-05,7.61115707682656e-05,7.03326418669784e-05,7.34671853043235e-05,1228.099768223776
2026-02-01,7.34671853043235e-05,7.34671853043235e-05,6.57887925174401e-05,6.57887925174401e-05,402.4917235954557
2026-02-02,6.57887925174401e-05,6.84931324174937e-05,6.20827078288328e-05,6.65092983224247e-05,787.1251747906027
2026-02-03,6.65092983224247e-05,6.84328363642395e-05,6.65092983224247e-05,6.80011160744529e-05,231.622954075
2026-02-04,6.80011160744529e-05,6.80011160744529e-05,6.0705982901164e-05,6.0705982901164e-05,239.48331435009538
2026-02-05,6.0705982901164e-05,6.0705982901164e-05,4.27043135996453e-05,4.27043135996453e-05,3070.9893914754234
2026-02-06,4.27043135996453e-05,4.80844232537091e-05,4.27043135996453e-05,4.80695056546079e-05,108.70300369940153
2026-02-07,5.26429667904634e-05,5.26429667904634e-05,4.99714409949635e-05,5.26429667904634e-05,596.9170899005654
2026-02-08,5.26429667904634e-05,5.29156555258604e-05,5.20735459779965e-05,5.29156555258604e-05,4.124971071371555
2026-02-09,5.29156555258604e-05,5.29156555258604e-05,4.99238817391423e-05,5.27771523685489e-05,73.97227559341617
2026-02-10,5.27771523685489e-05,5.27771523685489e-05,5.0868127728999e-05,5.0868127728999e-05,266.294448417622
2026-02-11,5.0868127728999e-05,5.11381594545312e-05,4.83353624493576e-05,4.83353624493576e-05,108.88283539237717
2026-02-12,4.83353624493576e-05,4.83353624493576e-05,2.41995900030124e-05,2.59941741588255e-05,4155.406874915581
2026-02-13,2.59941741588255e-05,2.69835448538917e-05,2.58772076988049e-05,2.68638404595956e-05,331.6756260649169
2026-02-14,2.68638404595956e-05,2.68638404595956e-05,2.54789399348808e-05,2.60964827846487e-05,176.48253270745687
2026-02-15,2.60964827846487e-05,2.60964827846487e-05,1.33576642157981e-05,1.74210407306009e-05,2252.6571053914367
2026-02-16,1.74210407306009e-05,2.77603677096126e-05,1.74210407306009e-05,2.77603677096126e-05,974.8088270963136
2026-02-17,2.77603677096126e-05,2.77603677096126e-05,2.31193345531138e-05,2.41228942695153e-05,797.5301707081501
2026-02-18,2.41228942695153e-05,2.59607772078339e-05,2.27145448562876e-05,2.27145448562876e-05,388.73250473745804
2026-02-19,2.27145448562876e-05,2.27145448562876e-05,2.03271600278644e-05,2.16153998171347e-05,513.7334754410364
2026-02-20,2.16153998171347e-05,2.57579937091845e-05,2.16153998171347e-05,2.44374230653769e-05,624.4871501246633
2026-02-21,2.44374230653769e-05,2.98244867325449e-05,2.44374230653769e-05,2.89783902481605e-05,481.8304954617033
2026-02-22,2.89783902481605e-05,6.04945523482993e-05,2.85127528535581e-05,6.04945523482993e-05,3000.765634204849
2026-02-23,6.04945523482993e-05,7.91015732789779e-05,3.4751418893624e-05,4.10980128686866e-05,5942.267928058206
2026-02-24,4.10980128686866e-05,4.159313403209e-05,3.89229573598987e-05,4.15265855698167e-05,189.98165663244774
2026-02-25,4.15265855698167e-05,4.72242464821092e-05,4.15036583679426e-05,4.62709831235814e-05,324.63059981905576
2026-02-26,4.62709831235814e-05,4.62709831235814e-05,1.75487324766756e-05,2.55520762963868e-05,3543.376213408353
2026-02-27,2.55520762963868e-05,2.55520762963868e-05,2.27553416311952e-05,2.27553416311952e-05,224.57590011379298
2026-02-28,2.27553416311952e-05,2.38837842386642e-05,2.19141835435924e-05,2.38837842386642e-05,173.39513797496826
2026-03-01,2.38837842386642e-05,2.49969541610646e-05,2.16117981711574e-05,2.16117981711574e-05,325.7092965600616
2026-03-02,2.16117981711574e-05,2.22663062508974e-05,2.16117981711574e-05,2.22663062508974e-05,26.185468762347472
2026-03-03,2.22663062508974e-05,2.29817277790014e-05,2.22663062508974e-05,2.29817277790014e-05,129.792857099988
2026-03-04,2.29817277790014e-05,2.75912642209926e-05,2.29817277790014e-05,2.75912642209926e-05,265.093553063576
2026-03-05,2.75912642209926e-05,2.75912642209926e-05,2.29672571358987e-05,2.35496934504436e-05,585.999978921946
2026-03-06,2.35496934504436e-05,2.35496934504436e-05,2.19164795699996e-05,2.23019883193498e-05,5.26463369063576
2026-03-07,2.23019883193498e-05,2.23685891318473e-05,2.23019883193498e-05,2.23685891318473e-05,21.105546719713132
2026-03-09,2.23685891318473e-05,2.42576151678939e-05,2.23685891318473e-05,2.40354868019508e-05,230.12433579301262
2026-03-10,2.40354868019508e-05,2.52655861799653e-05,2.09051849189649e-05,2.09051849189649e-05,487.73198184340623
2026-03-11,2.09051849189649e-05,2.09051849189649e-05,2.05032968374695e-05,2.07079171655725e-05,157.03932661937688
2026-03-12,2.07079171655725e-05,2.07079171655725e-05,1.87066144208643e-05,1.91835735966694e-05,327.07533062727174
2026-03-13,1.91835735966694e-05,2.05530300482199e-05,1.91835735966694e-05,1.99964663022353e-05,21.20236139615958
2026-03-15,1.99964663022353e-05,2.1988208302276e-05,1.99964663022353e-05,2.1988208302276e-05,264.5163639251497
2026-03-16,2.1988208302276e-05,2.55826531156915e-05,2.1988208302276e-05,2.55826531156915e-05,81.76112784927147
2026-03-17,2.55826531156915e-05,2.55826531156915e-05,2.44825885860015e-05,2.44825885860015e-05,21.25613379332226
2026-03-18,2.44825885860015e-05,2.44825885860015e-05,2.29091420061514e-05,2.32347168670088e-05,43.4725810350019
2026-03-19,2.32347168670088e-05,2.32347168670088e-05,2.10842493113709e-05,2.10842493113709e-05,147.86766699928066
2026-03-21,2.10842493113709e-05,2.15819220501195e-05,2.10842493113709e-05,2.15819220501195e-05,10.208298967744916
2026-03-22,2.15819220501195e-05,2.15819220501195e-05,2.08708243729478e-05,2.08708243729478e-05,0.727353005096506
2026-03-23,2.08708243729478e-05,2.14996185007679e-05,2.08708243729478e-05,2.09364869598271e-05,12.389928469335022
2026-03-24,2.09364869598271e-05,2.09364869598271e-05,2.08915011890101e-05,2.08915011890101e-05,25.461195327573
2026-03-25,2.08915011890101e-05,2.18638639774898e-05,2.08915011890101e-05,2.1696462024867e-05,78.48863476549039
2026-03-26,2.1696462024867e-05,2.1696462024867e-05,1.02451601720429e-05,1.76009571088569e-05,2116.798721902355
2026-03-27,1.76009571088569e-05,1.76009571088569e-05,1.65134827260967e-05,1.65134827260967e-05,33.636817502946954
2026-03-29,1.65134827260967e-05,1.81828726077311e-05,1.65134827260967e-05,1.81828726077311e-05,114.59908600791387
2026-03-30,1.81828726077311e-05,1.90388509829759e-05,1.77103113955799e-05,1.77103113955799e-05,87.55233582768236
2026-03-31,1.77103113955799e-05,1.80101360080643e-05,1.61413784087636e-05,1.80101360080643e-05,788.8953322442306
2026-04-02,1.80101360080643e-05,2.22184809891053e-05,1.80101360080643e-05,2.08205528014979e-05,66.03561689779274
2026-04-03,2.08205528014979e-05,2.08205528014979e-05,1.94110969882179e-05,1.94110969882179e-05,98.26513387122326
2026-04-04,1.94110969882179e-05,1.97288394385406e-05,1.94110969882179e-05,1.97288394385406e-05,68.3314831895468
2026-04-05,1.97288394385406e-05,2.08979129630347e-05,1.97288394385406e-05,2.08979129630347e-05,1.1925403439144522
2026-04-06,2.08979129630347e-05,2.09100248677567e-05,2.06546756803772e-05,2.09100248677567e-05,22.827840319823693
2026-04-07,2.09100248677567e-05,2.09100248677567e-05,1.99277067166803e-05,2.0278182277178e-05,17.34024596081615
2026-04-08,2.0278182277178e-05,2.23857812828418e-05,2.0278182277178e-05,2.18380075977774e-05,102.0304458212449
2026-04-09,2.18380075977774e-05,2.18380075977774e-05,2.07964976058053e-05,2.12899712649287e-05,13.855251829012325
2026-04-10,2.12899712649287e-05,2.12899712649287e-05,2.10215537416612e-05,2.10215537416612e-05,0.677161973157262
2026-04-12,2.10215537416612e-05,2.16244457204739e-05,2.10215537416612e-05,2.11923795411248e-05,6.89026964280103
2026-04-13,2.11923795411248e-05,2.17043366819434e-05,2.11351952983875e-05,2.13024353743023e-05,74.25694582347919
2026-04-14,2.13024353743023e-05,2.30206691060405e-05,2.13024353743023e-05,2.30206691060405e-05,57.41977711782713
2026-04-15,2.30206691060405e-05,2.32993651974515e-05,2.29258964800182e-05,2.29258964800182e-05,0.4462131079658314
2026-04-16,2.29258964800182e-05,2.32361241904775e-05,2.23808777258893e-05,2.23808777258893e-05,72.28900667225882
2026-04-17,2.23808777258893e-05,2.24125790062571e-05,2.19828353663078e-05,2.24125790062571e-05,18.19014680008655
2026-04-18,2.24125790062571e-05,2.30082164824334e-05,2.24125790062571e-05,2.27038690695488e-05,20.49642657360544
2026-04-19,2.27038690695488e-05,2.27038690695488e-05,2.20221139945736e-05,2.20221139945736e-05,3.81860097640238
2026-04-20,2.20221139945736e-05,2.23282554286926e-05,2.18788819171187e-05,2.18788819171187e-05,18.83191418668784
2026-04-21,2.18788819171187e-05,2.39744827100364e-05,2.18788819171187e-05,2.32964368889485e-05,134.65003010275274
2026-04-22,2.32964368889485e-05,2.69322164339091e-05,2.32964368889485e-05,2.69322164339091e-05,247.6522472214469
2026-04-23,2.69322164339091e-05,2.69322164339091e-05,2.53823879821981e-05,2.53922026974594e-05,47.59207535884257
2026-04-24,2.53922026974594e-05,2.57984678282361e-05,2.53922026974594e-05,2.57984678282361e-05,0.257657519864533
2026-04-25,2.57984678282361e-05,2.58247149054026e-05,2.57984678282361e-05,2.58247149054026e-05,3.3577795
2026-04-26,2.58247149054026e-05,2.58809681276888e-05,2.32790302629148e-05,2.32790302629148e-05,156.74393759242864
2026-04-27,2.32790302629148e-05,2.32790302629148e-05,2.28504363717594e-05,2.28504363717594e-05,0.925408397401696
2026-04-30,2.28504363717594e-05,2.28504363717594e-05,2.22215544736209e-05,2.26984338349202e-05,6.22192036370141
2026-05-01,2.26984338349202e-05,2.38490910704565e-05,2.26984338349202e-05,2.38490910704565e-05,80.1006727407519
2026-05-02,2.38490910704565e-05,2.41519318870062e-05,2.36975850464662e-05,2.41519318870062e-05,23.181717756804986
2026-05-04,2.41519318870062e-05,2.41519318870062e-05,2.33194015599831e-05,2.33194015599831e-05,78.321614771831
2026-05-05,2.33194015599831e-05,2.43084800132085e-05,2.33194015599831e-05,2.43084800132085e-05,105.60961868340635
2026-05-06,2.43084800132085e-05,2.76929385480311e-05,2.37526664492146e-05,2.38724522429629e-05,301.8802758914389
2026-05-07,2.38724522429629e-05,2.38908370137256e-05,1.72929496808283e-05,1.77911132744439e-05,396.6982700802282
2026-05-08,1.77911132744439e-05,1.80685189201155e-05,1.73529804741132e-05,1.80341147582655e-05,9.351751850816694
2026-05-09,1.80341147582655e-05,1.8308214145462e-05,1.77739737027123e-05,1.8308214145462e-05,9.977976458069229
2026-05-10,1.8308214145462e-05,1.87671843751482e-05,1.80159781491711e-05,1.87671843751482e-05,5.804876816263334
2026-05-11,1.87671843751482e-05,1.87671843751482e-05,1.84280670900286e-05,1.84280670900286e-05,0.808455120195788
2026-05-12,1.84280670900286e-05,1.84280670900286e-05,1.74074967291258e-05,1.75890195782708e-05,49.757588270059856
2026-05-13,1.75890195782708e-05,2.39815652813967e-05,1.75890195782708e-05,2.27851929942067e-05,349.9493831897382
2026-05-14,2.27851929942067e-05,2.3438154880504e-05,2.26361485040909e-05,2.3438154880504e-05,9.768914268187025
2026-05-15,2.3438154880504e-05,2.3438154880504e-05,2.2792648975352e-05,2.2792648975352e-05,0.99059609344459
2026-05-16,2.2792648975352e-05,2.2792648975352e-05,2.15686113777165e-05,2.15686113777165e-05,21.616153034496968
2026-05-17,2.15686113777165e-05,2.20887045173514e-05,2.15686113777165e-05,2.20887045173514e-05,6.533625541608261
2026-05-19,2.20887045173514e-05,2.20887045173514e-05,2.11104047615543e-05,2.11104047615543e-05,0.0929130013049844
2026-05-20,2.11104047615543e-05,2.15499650950941e-05,2.11098675465345e-05,2.11134275796564e-05,1.0982351176322078
2026-05-21,2.11134275796564e-05,2.16590972020922e-05,2.09542967779417e-05,2.09542967779417e-05,24.69521743274932
2026-05-23,2.09542967779417e-05,2.09542967779417e-05,1.9589525543696e-05,1.9589525543696e-05,40.0527542337993
