date,open,high,low,close,volume_usd
2025-04-15,85150.2398559585,86381.6955895278,83843.602045715,83843.602045715,294.2300919781521
2025-04-16,83843.602045715,85429.9277865759,83158.4801453691,84552.5644840188,386.9536870143415
2025-04-17,84552.5644840188,85268.332481052,83927.4791187397,84781.8353339378,288.4508746225352
2025-04-18,84781.8353339378,85175.3797468355,84388.3962199027,84601.9755998766,82.94355371854657
2025-04-19,84601.9755998766,85385.8255927185,84310.0450319013,85081.3970237679,158.7478988293717
2025-04-20,85081.3970237679,85285.195376995,84371.4468552073,84709.3105077735,547.6495968036548
2025-04-21,84709.3105077735,87958.7683357452,84709.3105077735,87369.7148376402,292.03039015359155
2025-04-22,87369.7148376402,93283.7720226795,87369.7148376402,93283.7720226795,356.48114365005955
2025-04-23,93283.7720226795,94358.9931639771,92364.4779500302,93432.704861231,217.73048714588444
2025-04-24,93432.704861231,93835.743650232,92303.3996524328,93835.743650232,289.82281407739634
2025-04-25,93835.743650232,95292.715155197,93072.8303270217,95290.6005584788,145.52592817818072
2025-04-26,95290.6005584788,95290.6005584788,94045.2949861054,94045.2949861054,31.99223396865719
2025-04-27,94045.2949861054,95027.6447313288,93797.1785027332,93797.1785027332,82.53586219139171
2025-04-28,93797.1785027332,95268.0221957039,92959.6248673533,95224.186283556,588.7627826849003
2025-04-29,95224.186283556,95456.5579556544,94140.7568701063,94140.7568701063,161.68102733514738
2025-04-30,94140.7568701063,94853.6584176512,93333.4415193436,94517.4949052448,99.2128160340076
2025-05-01,94517.4949052448,97181.8163507826,94517.4949052448,96677.6587825926,98.6862492310247
2025-05-02,96677.6587825926,97729.2983819656,96677.6587825926,96898.3124133246,37.1383319607043
2025-05-03,96898.3124133246,96898.3124133246,95896.6600463156,96412.9138909118,55.22024859853732
2025-05-04,96412.9138909118,96412.9138909118,94268.2231978289,94268.2231978289,69.97626531115235
2025-05-05,94268.2231978289,94877.3488908138,93737.0214615606,94851.1479783232,56.53566701437507
2025-05-06,94851.1479783232,95894.229101493,93504.1053207345,95894.229101493,91.37542627827597
2025-05-08,95894.229101493,99514.153640157,95894.229101493,99514.153640157,0.24082425180918
2025-05-09,99514.153640157,103333.913597565,99514.153640157,103333.913597565,3.447949095392733
2025-05-10,103333.913597565,103333.913597565,103127.828136102,103127.828136102,0.551031150603172
2025-05-13,103127.828136102,104079.149887575,103127.828136102,104079.149887575,0.267483415211068
2025-05-19,104079.149887575,105511.970549947,102669.749751474,102669.749751474,0.1881523101558669
2025-05-20,102669.749751474,106246.961922305,102669.749751474,106246.961922305,0.7266529103271361
2025-05-21,106246.961922305,108997.690485662,106246.961922305,108249.789774298,0.6698341073952049
2025-05-22,108249.789774298,111728.347800688,108249.789774298,111069.054477597,3.573836905511522
2025-05-23,111069.054477597,111069.054477597,109412.574019046,109412.574019046,0.129106837342474
2025-05-25,109412.574019046,109412.574019046,108103.162131353,108103.162131353,0.0454033280951681
2025-05-29,108103.162131353,108103.162131353,106157.871173509,106157.871173509,0.0583868291454302
2025-05-30,106157.871173509,106157.871173509,104917.447339992,104917.447339992,0.0587537705103954
2025-05-31,104917.447339992,104917.447339992,104270.820234884,104270.820234884,0.109484361246629
2025-06-06,104270.820234884,104472.255208589,104270.820234884,104429.075608249,0.901390459348508
2025-06-07,104429.075608249,105714.024193568,104429.075608249,105714.024193568,0.214599469112942
2025-06-08,105714.024193568,106178.859153453,105714.024193568,106178.859153453,0.00106178859153453
2025-06-11,106178.859153453,109547.317032451,106178.859153453,109547.317032451,0.0372460877910335
2025-06-14,109547.317032451,109547.317032451,105283.587262881,105283.587262881,0.0747513469566452
2025-06-18,105283.587262881,105283.587262881,105011.16550552,105011.16550552,0.0882093790246372
2025-06-20,105011.16550552,105011.16550552,103115.141900669,103115.141900669,0.0608379337213949
2025-06-22,103115.141900669,103115.141900669,99304.9711047622,99304.9711047622,0.151936605790286
2025-06-23,99304.9711047622,105707.59101709,99304.9711047622,105707.59101709,0.106764666927261
2025-06-24,105707.59101709,105724.499897246,105676.507407431,105676.507407431,0.561291990901681
2025-06-25,105676.507407431,107564.000394689,105676.507407431,107564.000394689,0.061311480224973
2025-06-26,107564.000394689,107564.000394689,107114.114196382,107126.613251437,1.081725553571873
2025-06-27,107126.613251437,107473.065416308,106867.027849725,106867.027849725,0.686817580089487
2025-07-03,106867.027849725,109876.593078854,106867.027849725,109876.593078854,0.130753145763837
2025-07-05,109876.593078854,109876.593078854,108161.167425833,108161.167425833,0.513812365139039
2025-07-06,108161.167425833,108827.021189915,108041.18276681,108827.021189915,0.1682103797905052
2025-07-09,108827.021189915,111514.237040761,108733.465776459,111514.237040761,1.005457813667717
2025-07-10,111514.237040761,113450.554753046,110911.938257808,113450.554753046,0.218613806778345
2025-07-11,113450.554753046,118239.349319037,113450.554753046,117815.52012264,0.40344698485221
2025-07-12,117815.52012264,117815.52012264,117278.406759188,117278.406759188,0.0551208511768182
2025-07-19,117278.406759188,117979.076718761,117278.406759188,117979.076718761,0.155732381268764
2025-07-22,117979.076718761,119203.345374383,117979.076718761,119203.345374383,0.0750981075858611
2025-07-24,119203.345374383,119203.345374383,118707.939329956,118707.939329956,0.116333780543357
2025-07-25,118707.939329956,118707.939329956,115896.434289722,115896.434289722,0.126327113375797
2025-07-30,115896.434289722,117482.872006246,115896.434289722,117482.872006246,0.115133214566121
2025-08-04,117482.872006246,117482.872006246,114941.234691852,115389.269683469,0.262796312133759
2025-08-05,115389.269683469,115389.269683469,112886.490161718,113668.567002615,1.527997372963132
2025-08-07,113668.567002615,116421.905922008,113668.567002615,116101.765217603,1.6573797268671537
2025-08-08,116101.765217603,116474.968994791,116101.765217603,116474.968994791,0.257409681478489
2025-08-09,116474.968994791,116807.767454796,116474.968994791,116807.767454796,0.189228583276769
2025-08-11,116807.767454796,121651.054936686,116807.767454796,121651.054936686,0.937929633561847
2025-08-12,121651.054936686,121651.054936686,118830.687459581,118830.687459581,0.0796165605979194
2025-08-13,118830.687459581,119969.902154879,118830.687459581,119969.902154879,0.26633318278383
2025-08-14,119969.902154879,123913.141519966,119969.902154879,123913.141519966,0.220565391905539
2025-08-15,123913.141519966,123913.141519966,118829.70751475,118829.70751475,0.0998169543123897
2025-08-20,118829.70751475,118829.70751475,113659.376122397,113910.335599757,0.2265058962093636
2025-08-26,113910.335599757,113910.335599757,110356.734835148,110356.734835148,0.103735330745039
2025-08-30,110356.734835148,110356.734835148,108011.322839507,108011.322839507,0.0864090582716058
2025-09-12,108011.322839507,115329.798090266,108011.322839507,115151.025583237,0.1659747966460467
2025-09-15,115151.025583237,115415.356179676,115151.025583237,115415.356179676,0.0738658279549929
2025-09-16,115415.356179676,116544.153999049,115133.477701445,116544.153999049,2.5230317605887866
2025-09-18,116544.153999049,117035.136662767,116544.153999049,117035.136662767,0.0222366759659258
2025-09-23,117035.136662767,117035.136662767,113152.071571737,113152.071571737,0.109757509424585
2025-09-28,113152.071571737,113152.071571737,109451.714062131,109451.714062131,0.136814642577663
2025-09-29,109451.714062131,114246.875559373,109451.714062131,114246.875559373,0.2306620127492801
2025-09-30,114246.875559373,114246.875559373,113055.987249648,114096.666296174,2.6399656261569677
2025-10-01,114096.666296174,114591.463830132,114096.666296174,114591.463830132,0.0996945735322151
2025-10-02,114591.463830132,120600.190482948,114591.463830132,120600.190482948,0.227934360012772
2025-10-09,120600.190482948,121832.751359656,120600.190482948,121832.751359656,0.088937908492549
