date,open,high,low,close,volume_usd
2025-08-09,9.96834272506054e-05,0.000121983735582609,9.86309983302764e-05,0.000117142965775084,45836.38510902304
2025-08-10,0.000117142965775084,0.000117142965775084,0.000103222241363237,0.000103730066251716,14924.915702596347
2025-08-11,0.000103730066251716,0.00010425480644965,8.49031417206196e-05,8.50084383909922e-05,17640.746289604314
2025-08-12,8.50084383909922e-05,9.42310291594178e-05,8.25310370353992e-05,8.99960764862662e-05,10526.63636587902
2025-08-13,8.99960764862662e-05,0.000101360159670299,8.99960764862662e-05,9.84588017596347e-05,10446.586733412089
2025-08-14,9.84588017596347e-05,0.000101259520030348,8.09451206690314e-05,8.09451206690314e-05,12858.540006963512
2025-08-15,8.09451206690314e-05,8.74279713795881e-05,7.58229301247327e-05,7.93610908162559e-05,11979.589644248887
2025-08-16,7.93610908162559e-05,8.51358197297604e-05,7.93610908162559e-05,8.51358197297604e-05,4237.344044102416
2025-08-17,8.51358197297604e-05,8.67097818886519e-05,7.86017688590071e-05,7.86284540689776e-05,4715.596733025288
2025-08-18,7.86284540689776e-05,7.88026772870597e-05,7.32656909963453e-05,7.33125894178287e-05,2541.563817624574
2025-08-19,7.33125894178287e-05,7.33125894178287e-05,6.8886435520045e-05,7.01279036011124e-05,1075.209973142132
2025-08-20,7.01279036011124e-05,7.59058261458937e-05,6.99053239332735e-05,7.29537926015195e-05,3445.606662865877
2025-08-21,7.29537926015195e-05,7.40212176589679e-05,6.66618739318013e-05,6.66618739318013e-05,6470.32385484555
2025-08-22,6.66618739318013e-05,7.96708699965086e-05,6.66618739318013e-05,7.69607140614576e-05,3052.317371802777
2025-08-23,7.69607140614576e-05,7.73405826173726e-05,7.34616936894377e-05,7.53899636038333e-05,1140.9502317544311
2025-08-24,7.53899636038333e-05,7.93243568759562e-05,7.04460129463527e-05,7.07169914036892e-05,7064.225790348497
2025-08-25,7.07169914036892e-05,7.21522310616635e-05,6.49185444175598e-05,6.49185444175598e-05,2574.8727117320004
2025-08-26,6.49185444175598e-05,7.27080347659755e-05,6.49185444175598e-05,7.01784360497309e-05,2977.907176882993
2025-08-27,7.01784360497309e-05,7.12925722350163e-05,6.58437097989474e-05,6.71096642547998e-05,1637.120777376621
2025-08-28,6.71096642547998e-05,6.92726947691157e-05,6.23470055140971e-05,6.56952768650655e-05,4733.349863736831
2025-08-29,6.56952768650655e-05,6.56952768650655e-05,5.95628264522146e-05,6.15759254160277e-05,3052.949195019654
2025-08-30,6.15759254160277e-05,6.1962295963468e-05,6.00539231706884e-05,6.00539231706884e-05,449.8970501553185
2025-08-31,6.00539231706884e-05,6.40694330178526e-05,6.00539231706884e-05,6.35102928987735e-05,725.1813776528293
2025-09-01,6.35102928987735e-05,6.36068695732239e-05,5.85281115549687e-05,5.96131555916505e-05,3404.524322178191
2025-09-02,5.96131555916505e-05,6.0780096829986e-05,5.78011751480679e-05,5.78011751480679e-05,970.8294758676863
2025-09-03,5.78011751480679e-05,6.16064124996859e-05,5.78011751480679e-05,5.99919716654993e-05,1112.8809729091051
2025-09-04,5.99919716654993e-05,6.00533360199161e-05,5.88472015727015e-05,5.95772456709983e-05,485.8128404805206
2025-09-05,5.95772456709983e-05,6.0879843303292e-05,5.82709008491212e-05,6.0879843303292e-05,1243.0067144560796
2025-09-06,6.0879843303292e-05,6.0879843303292e-05,5.81412641144715e-05,5.81412641144715e-05,898.227136126279
2025-09-07,5.81412641144715e-05,5.96227480985252e-05,5.57943189894305e-05,5.7908168230476e-05,4203.769289062924
2025-09-08,5.7908168230476e-05,6.00729701585845e-05,5.76617820138068e-05,5.80052515834405e-05,1596.3567859486088
2025-09-09,5.80052515834405e-05,6.02898110744772e-05,5.79260058778793e-05,5.9233727574436e-05,350.8128391054576
2025-09-10,5.9233727574436e-05,6.41723107586048e-05,5.9233727574436e-05,6.16893809327576e-05,2980.779863470086
2025-09-11,6.16893809327576e-05,6.19278107000766e-05,5.92216893060442e-05,6.04903680100218e-05,1832.3109346275608
2025-09-12,6.04903680100218e-05,6.50819319412239e-05,6.04903680100218e-05,6.50819319412239e-05,1568.481509174777
2025-09-13,6.50819319412239e-05,6.55436353603047e-05,6.24009918945171e-05,6.24009918945171e-05,696.2976911658722
2025-09-14,6.24009918945171e-05,6.39543257987061e-05,5.99664419915814e-05,6.15633878459737e-05,1543.3065681207008
2025-09-15,6.15633878459737e-05,6.86211038650839e-05,5.81435343406066e-05,6.32222772477981e-05,18922.263699903902
2025-09-16,6.32222772477981e-05,6.46482252078255e-05,5.58638831535775e-05,5.91164034830042e-05,5040.785414048664
2025-09-17,5.91164034830042e-05,6.5464319014564e-05,5.89400733211217e-05,6.05298821500769e-05,6101.167513947058
2025-09-18,6.05298821500769e-05,6.3203500239726e-05,6.00302196023534e-05,6.00302196023534e-05,1639.585151653636
2025-09-19,6.00302196023534e-05,6.00302196023534e-05,5.58819784917836e-05,5.59897236883502e-05,3372.5057299563896
2025-09-20,5.59897236883502e-05,5.74198384712624e-05,5.5828831935788e-05,5.65862196205763e-05,1229.5209305708765
2025-09-21,5.65862196205763e-05,5.76988897618044e-05,5.33909300130937e-05,5.5244453356448e-05,4039.73930281475
2025-09-22,5.5244453356448e-05,5.56284029950496e-05,5.05774990390334e-05,5.36212557346859e-05,2122.2414778714424
2025-09-23,5.36212557346859e-05,5.50835891913975e-05,5.23656203960706e-05,5.27554345375766e-05,1977.4796509885773
2025-09-24,5.27554345375766e-05,5.27554345375766e-05,4.8508785253063e-05,5.02193784569655e-05,3951.4751879885625
2025-09-25,5.02193784569655e-05,5.02193784569655e-05,4.32071971027674e-05,4.63811343157776e-05,5525.818114643712
2025-09-26,4.63811343157776e-05,5.04694809832917e-05,4.63811343157776e-05,5.04694809832917e-05,2458.50740983141
2025-09-27,5.04694809832917e-05,5.04694809832917e-05,4.90277771142037e-05,5.01591682997948e-05,582.6565327619886
2025-09-28,5.01591682997948e-05,5.16361328101565e-05,4.82065026616013e-05,5.06095029952974e-05,2192.919921826216
2025-09-29,5.06095029952974e-05,5.17149256545193e-05,5.06095029952974e-05,5.06352402047159e-05,1030.1694477834023
2025-09-30,5.06352402047159e-05,5.0961836929416e-05,4.94379585799774e-05,5.04816198782219e-05,562.902700657545
2025-10-01,5.04816198782219e-05,5.1048008334987e-05,4.87474669402272e-05,4.96600901843815e-05,2135.6350321308823
2025-10-02,4.96600901843815e-05,5.45506331341271e-05,4.95653162239834e-05,5.41745857806607e-05,3163.73215496284
2025-10-03,5.41745857806607e-05,5.80884397303309e-05,5.36719222216171e-05,5.40500480502429e-05,2788.970673903012
2025-10-04,5.40500480502429e-05,5.65619792298688e-05,5.31740207481421e-05,5.35893755272929e-05,9666.473811611995
2025-10-05,5.35893755272929e-05,5.70139647541868e-05,5.35409201214367e-05,5.36374048623857e-05,4296.655782692439
2025-10-06,5.36374048623857e-05,5.60746148615992e-05,5.27716216721859e-05,5.43459501017096e-05,3637.7045545546107
2025-10-07,5.43459501017096e-05,5.76505315391877e-05,5.148582350376e-05,5.16391617335667e-05,5641.294947966984
2025-10-08,5.16391617335667e-05,5.51237761867784e-05,5.10569435343016e-05,5.40928062879647e-05,3373.612289848507
2025-10-09,5.40928062879647e-05,5.57231576607335e-05,5.06286818681875e-05,5.07701524401958e-05,1805.7699872559106
2025-10-10,5.07701524401958e-05,6.12849290246961e-05,4.52709473550075e-05,4.76749909536035e-05,16954.50116335607
2025-10-11,4.76749909536035e-05,4.98907515527571e-05,4.29573569726615e-05,4.43111957797253e-05,16177.256806824042
2025-10-12,4.43111957797253e-05,4.90619644317606e-05,4.40265924778804e-05,4.90619644317606e-05,3289.0092372307085
2025-10-13,4.90619644317606e-05,4.97975064832208e-05,4.59704532996462e-05,4.82644369249475e-05,4593.036701441203
2025-10-14,4.82644369249475e-05,4.82644369249475e-05,4.48611418702927e-05,4.64320839495307e-05,1064.9739117159813
2025-10-15,4.64320839495307e-05,4.84362444297606e-05,4.38746036429216e-05,4.38746036429216e-05,2124.1830359789265
2025-10-16,4.38746036429216e-05,4.75185349471605e-05,3.9376616811599e-05,4.0740282833365e-05,7033.592488599653
2025-10-17,4.0740282833365e-05,4.15558819360742e-05,3.65789903331452e-05,3.99202457306636e-05,4177.494580092067
2025-10-18,3.99202457306636e-05,4.07196339627122e-05,3.93554372288288e-05,3.95764056973599e-05,495.2301645002218
2025-10-19,3.95764056973599e-05,4.06587900348065e-05,3.91087072442481e-05,4.02499181070648e-05,684.8246895038113
2025-10-20,4.02499181070648e-05,4.16180538503939e-05,3.96019428442505e-05,4.16180538503939e-05,2580.12446272702
2025-10-21,4.16180538503939e-05,4.1817398788241e-05,3.91018602932218e-05,3.94645822991754e-05,1943.1706363397543
2025-10-22,3.94645822991754e-05,3.97150823845836e-05,3.23398560471344e-05,3.55684077399753e-05,5691.047695916293
2025-10-23,3.55684077399753e-05,3.88743305625348e-05,3.55684077399753e-05,3.83608809113902e-05,1432.5570788272237
2025-10-24,3.83608809113902e-05,4.46880934583312e-05,3.83608809113902e-05,4.46880934583312e-05,4820.462851193266
2025-10-25,4.46880934583312e-05,4.87928166636262e-05,4.34107306800258e-05,4.56324031010858e-05,4660.938573180973
2025-10-26,4.56324031010858e-05,6.43042942617599e-05,4.50840931644046e-05,6.03143321290251e-05,35879.98902703759
2025-10-27,6.03143321290251e-05,6.11845788632343e-05,5.19079923843169e-05,5.36090659274275e-05,9772.160344065287
2025-10-28,5.36090659274275e-05,6.32531057219623e-05,4.83300412894182e-05,5.16953363605567e-05,27651.170344280614
2025-10-29,5.16953363605567e-05,6.19511964376674e-05,5.16953363605567e-05,5.43082837939074e-05,9590.786559908802
2025-10-30,5.43082837939074e-05,5.46341595431884e-05,4.24100825488712e-05,4.34471249473334e-05,8487.326125422358
2025-10-31,4.34471249473334e-05,4.55589450423293e-05,4.34471249473334e-05,4.4552862441513e-05,981.5552224428448
2025-11-01,4.4552862441513e-05,4.4552862441513e-05,4.06302405652253e-05,4.14868839699167e-05,4983.478153443883
2025-11-02,4.14868839699167e-05,4.21357141811735e-05,3.82678436877182e-05,4.19779647235249e-05,3915.605622393485
2025-11-03,4.19779647235249e-05,4.19779647235249e-05,3.31220596989744e-05,3.41850585480152e-05,4707.625023713182
2025-11-04,3.41850585480152e-05,3.48658110899406e-05,3.0144370918434e-05,3.14574908023431e-05,1803.6522623571395
2025-11-05,3.14574908023431e-05,3.33590728549109e-05,3.02007098883743e-05,3.30674942801597e-05,1571.950967920819
2025-11-06,3.30674942801597e-05,3.57730444040774e-05,3.15193287852488e-05,3.57730444040774e-05,3764.269931482284
2025-11-07,3.57730444040774e-05,4.41019713155604e-05,3.49879527544896e-05,4.22001587858909e-05,7158.810110106384
2025-11-08,4.22001587858909e-05,4.44581731919549e-05,3.86275437326684e-05,3.94828401709594e-05,4968.274659120651
2025-11-09,3.94828401709594e-05,4.64325748762052e-05,3.82196229046405e-05,4.59547544605049e-05,3925.798211082505
2025-11-10,4.59547544605049e-05,4.67053934743348e-05,4.36943660507944e-05,4.51206781304539e-05,2249.6015039491467
2025-11-11,4.51206781304539e-05,4.57887763475711e-05,3.92784141996038e-05,3.92998118497756e-05,2451.382252475745
2025-11-12,3.92998118497756e-05,4.11309785862014e-05,3.78628051225002e-05,3.78628051225002e-05,894.7811367697797
2025-11-13,3.78628051225002e-05,3.84011942038549e-05,3.36201542757621e-05,3.36201542757621e-05,1915.2625093380911
2025-11-14,3.36201542757621e-05,3.44167264211633e-05,3.1371995629851e-05,3.24719629687628e-05,2582.74417229864
2025-11-15,3.24719629687628e-05,3.3451309928474e-05,3.24719629687628e-05,3.31272025828185e-05,215.1379825195938
2025-11-16,3.31272025828185e-05,3.36346464964329e-05,3.09094925821673e-05,3.20249767677735e-05,2389.3177017056005
2025-11-17,3.20249767677735e-05,3.31485523683354e-05,2.98017499162468e-05,3.09084199504187e-05,1997.5603655901248
2025-11-18,3.09084199504187e-05,3.22439295970899e-05,3.02391207781445e-05,3.02391207781445e-05,1808.0216091582938
2025-11-19,3.02391207781445e-05,3.05963060966147e-05,2.72669226976413e-05,2.90188101575979e-05,4583.238582995076
2025-11-20,2.90188101575979e-05,2.92948335652263e-05,2.53041343625688e-05,2.55709736409696e-05,1376.3321391200664
2025-11-21,2.55709736409696e-05,2.66587736486702e-05,2.38742548103771e-05,2.3901316868435e-05,1909.6252499274037
2025-11-22,2.3901316868435e-05,2.39758624297547e-05,2.30544924364726e-05,2.351671444308e-05,269.82646295802937
2025-11-23,2.351671444308e-05,2.58193935086441e-05,2.351671444308e-05,2.55691854744949e-05,949.058099353956
2025-11-24,2.55691854744949e-05,2.68918608600185e-05,2.48422503979002e-05,2.6657760282885e-05,265.34902172510897
2025-11-25,2.6657760282885e-05,2.6657760282885e-05,2.38294169787416e-05,2.39250259190991e-05,1666.223709399206
2025-11-26,2.39250259190991e-05,2.54647181149962e-05,2.36829826709387e-05,2.48875349598393e-05,418.7632275178051
2025-11-27,2.48875349598393e-05,2.55263416605341e-05,2.45599399595878e-05,2.5301045664927e-05,388.66066426839336
2025-11-28,2.5301045664927e-05,2.55444415683135e-05,2.48003257300987e-05,2.55444415683135e-05,238.10344541832836
2025-11-29,2.55444415683135e-05,2.55444415683135e-05,2.46372582692175e-05,2.46448401647554e-05,25.543710143865393
2025-11-30,2.46448401647554e-05,2.55536146816364e-05,2.46448401647554e-05,2.55536146816364e-05,215.85258964078338
2025-12-01,2.55536146816364e-05,2.55536146816364e-05,2.25356633812559e-05,2.26077138263316e-05,2189.1226981769755
2025-12-02,2.26077138263316e-05,2.50143659648761e-05,2.26077138263316e-05,2.49253163669015e-05,114.33254211874576
2025-12-03,2.49253163669015e-05,2.67676369102521e-05,2.49253163669015e-05,2.66114912839334e-05,1173.9715529875284
2025-12-04,2.66114912839334e-05,2.84218951714332e-05,2.66114912839334e-05,2.6909883683204e-05,2475.0969324508756
2025-12-05,2.6909883683204e-05,2.76086235833983e-05,2.42298246060664e-05,2.52476226617562e-05,2874.265010027526
2025-12-06,2.52476226617562e-05,2.57290273335043e-05,2.43859185362374e-05,2.43859185362374e-05,522.823623848743
2025-12-07,2.43859185362374e-05,2.55753458150832e-05,2.39604810417938e-05,2.55753458150832e-05,399.8422081872437
2025-12-08,2.55753458150832e-05,2.55753458150832e-05,2.47235504128574e-05,2.47335318075856e-05,129.31935218409842
2025-12-09,2.47335318075856e-05,2.51697597479573e-05,2.23061022953331e-05,2.3370577772436e-05,2483.269084197715
2025-12-10,2.3370577772436e-05,2.39382840193934e-05,2.26898848241597e-05,2.34617053718958e-05,445.9804536481987
2025-12-11,2.34617053718958e-05,2.34617053718958e-05,2.20039262884199e-05,2.28586067305282e-05,495.6712432937615
2025-12-12,2.28586067305282e-05,2.28586067305282e-05,2.09298362376838e-05,2.10326214741923e-05,2094.812898629008
2025-12-13,2.10326214741923e-05,2.1339514910086e-05,2.10326214741923e-05,2.1339514910086e-05,47.68963351547609
2025-12-14,2.1339514910086e-05,2.1419597307763e-05,2.08070014073422e-05,2.08070014073422e-05,546.0929182356638
2025-12-15,2.08070014073422e-05,2.15497565575371e-05,1.96330891900731e-05,2.01633863051322e-05,243.4692607063455
2025-12-16,2.01633863051322e-05,2.01633863051322e-05,1.80240818343259e-05,1.86311697743854e-05,5735.942490287049
2025-12-17,1.86311697743854e-05,1.9451854002224e-05,1.73945103579987e-05,1.77013259936175e-05,1467.4767767659712
2025-12-18,1.77013259936175e-05,1.77715486313089e-05,1.62909049009164e-05,1.62909049009164e-05,1474.3460219741482
2025-12-19,1.62909049009164e-05,1.64612737214171e-05,1.36231712310289e-05,1.55055211586744e-05,3170.142665257273
2025-12-20,1.55055211586744e-05,1.55055211586744e-05,1.49916081344302e-05,1.52950556175095e-05,236.21908844421236
2025-12-21,1.52950556175095e-05,1.65293471611645e-05,1.46180009067525e-05,1.65293471611645e-05,1699.7955893774717
2025-12-22,1.65293471611645e-05,1.72908399285827e-05,1.606775023653e-05,1.63751494175699e-05,884.1718874949663
2025-12-23,1.63751494175699e-05,1.67389391080186e-05,1.58164337413649e-05,1.64724411824238e-05,1122.57460550041
2025-12-24,1.64724411824238e-05,1.6508150035071e-05,1.57816391920207e-05,1.57816391920207e-05,249.75409148362053
2025-12-25,1.57816391920207e-05,1.62963834442294e-05,1.54272339796231e-05,1.56272255397353e-05,1072.3731015787382
2025-12-26,1.56272255397353e-05,1.56272255397353e-05,1.51292798102762e-05,1.51292798102762e-05,130.20486925407857
2025-12-27,1.51292798102762e-05,1.5376466280823e-05,1.47917989650827e-05,1.48156930346478e-05,554.2795939541326
2025-12-28,1.48156930346478e-05,1.54422208414058e-05,1.44643415776165e-05,1.50018434637228e-05,2369.6631805263096
2025-12-29,1.50018434637228e-05,1.52153521880521e-05,1.43605231142355e-05,1.44563323346631e-05,603.3557742798266
2025-12-30,1.44563323346631e-05,1.47405597916928e-05,1.43988534876478e-05,1.43988534876478e-05,230.51469384389645
2025-12-31,1.43988534876478e-05,1.47138351493926e-05,1.42300917099849e-05,1.42373981152799e-05,614.6088086718343
2026-01-01,1.42373981152799e-05,1.48690535106649e-05,7.25078726981227e-06,1.18945856447284e-05,25126.119734465403
2026-01-02,1.18945856447284e-05,1.35499659496167e-05,1.18945856447284e-05,1.34813343628178e-05,4283.447916124862
2026-01-03,1.34813343628178e-05,1.405495096477e-05,1.31453158641604e-05,1.405495096477e-05,1568.0612685805445
2026-01-04,1.405495096477e-05,2.1914063096215e-05,1.35404752074143e-05,1.96678211589154e-05,11649.284467477195
2026-01-05,1.96678211589154e-05,1.98367459352644e-05,1.85223286053125e-05,1.97460525010216e-05,1581.4550013975518
2026-01-06,1.97460525010216e-05,1.97460525010216e-05,1.88430271973834e-05,1.93392893374216e-05,555.744775661457
2026-01-07,1.93392893374216e-05,1.93392893374216e-05,1.77609921777727e-05,1.77609921777727e-05,882.785227512342
2026-01-08,1.77609921777727e-05,1.83345901904835e-05,1.60455996197428e-05,1.60455996197428e-05,1494.1501529734542
2026-01-09,1.60455996197428e-05,1.69731304012047e-05,1.60455996197428e-05,1.66206102763975e-05,536.9750555353558
2026-01-10,1.66206102763975e-05,1.6885545900519e-05,1.63710966671308e-05,1.63710966671308e-05,107.69960677366744
2026-01-11,1.63710966671308e-05,1.79681677685623e-05,1.63591598813649e-05,1.7557710360356e-05,1427.3720708399399
2026-01-12,1.7557710360356e-05,2.07078953512713e-05,1.72649740796154e-05,2.01008378731496e-05,3102.501378015655
2026-01-13,2.01008378731496e-05,2.13446204090731e-05,2.01008378731496e-05,2.07953277559359e-05,728.9689678921875
2026-01-14,2.07953277559359e-05,2.24957228528227e-05,2.07417428822171e-05,2.21321029653409e-05,2087.236854563309
2026-01-15,2.21321029653409e-05,2.21321029653409e-05,2.05566750654878e-05,2.10808367216109e-05,1055.8747506714801
2026-01-16,2.10808367216109e-05,2.10808367216109e-05,1.97470046305021e-05,2.02952813453649e-05,955.826672915711
