date,open,high,low,close,volume_usd
2025-03-05,88235.2280956235,89821.8312266081,88235.2280956235,89821.8312266081,0.581270019097836
2025-03-08,89821.8312266081,89821.8312266081,85718.1003129624,85718.1003129624,0.333396124740541
2025-03-09,85718.1003129624,85718.1003129624,80339.7754308467,80339.7754308467,3.695607750486859
2025-03-10,80339.7754308467,82074.1793447669,78452.896088742,78452.896088742,1.092873899462144
2025-03-12,78452.896088742,83057.560199299,78452.896088742,83057.560199299,0.724594919434095
2025-03-13,83057.560199299,83057.560199299,82823.4516345551,82823.4516345551,1.69198524849972
2025-03-16,82823.4516345551,83789.2740965465,82823.4516345551,83789.2740965465,0.558004421135234
2025-03-18,83789.2740965465,83789.2740965465,82427.4808081629,82427.4808081629,0.274892026841412
2025-03-19,82427.4808081629,83671.8970397208,82427.4808081629,83671.8970397208,3.487584892885023
2025-03-20,83671.8970397208,86016.7469080498,83671.8970397208,86016.7469080498,0.27057861296221
2025-03-28,86016.7469080498,87207.4858188132,84774.8238581459,84774.8238581459,3.865869804519988
2025-03-30,84774.8238581459,84774.8238581459,82071.4445173114,82071.4445173114,0.349027485705295
2025-04-01,82071.4445173114,83417.670248281,82071.4445173114,83417.670248281,0.228626659371
2025-04-02,83417.670248281,84724.4347561816,83417.670248281,84724.4347561816,0.300175853091443
2025-04-04,84724.4347561816,84724.4347561816,82908.5300364211,82908.5300364211,0.0264540907189267
2025-04-17,82908.5300364211,84063.9714162304,82908.5300364211,84063.9714162304,0.488246723868051
2025-04-20,84063.9714162304,84758.1605196897,84063.9714162304,84758.1605196897,0.173753533285879
2025-04-21,84758.1605196897,86866.1675579673,84758.1605196897,86866.1675579673,0.346051045580686
2025-04-22,86866.1675579673,90994.8578454262,86866.1675579673,90994.8578454262,0.448209057000068
2025-04-24,90994.8578454262,92600.4497303855,90994.8578454262,92600.4497303855,0.338911777415724
2025-05-08,92600.4497303855,99904.9053778038,92600.4497303855,99904.9053778038,0.582879799559877
2025-05-09,99904.9053778038,103101.162488007,99904.9053778038,102647.697872243,2.56342289187363
2025-05-13,102647.697872243,103163.172306058,102392.875847152,103163.172306058,1.730646073449575
2025-05-14,103163.172306058,103731.010583649,103163.172306058,103731.010583649,0.187120964387547
2025-05-16,103731.010583649,103977.928480073,103052.084406183,103859.503708314,1.581234375404311
2025-05-18,103859.503708314,105441.22062321,102995.715314773,105290.86925637,2.6163198655873905
2025-05-19,105290.86925637,105424.349889606,105290.86925637,105424.349889606,0.481130647413807
2025-05-22,105424.349889606,110739.207144886,105424.349889606,109430.561193442,2.135760994406952
2025-05-23,109430.561193442,110961.962336488,109430.561193442,110915.93329179,2.196865917072934
2025-05-25,110915.93329179,110915.93329179,106443.746200149,106443.746200149,0.2731019664720242
2025-05-26,106443.746200149,109188.409124538,106443.746200149,109188.409124538,0.400114927473552
2025-05-27,109188.409124538,109277.748139773,108209.735435158,109277.748139773,3.522050274001181
2025-05-28,109277.748139773,109277.748139773,108900.646738871,108900.646738871,1.519000066646947
2025-05-29,108900.646738871,108900.646738871,107649.070951066,107649.070951066,0.631656824959596
2025-05-30,107649.070951066,107649.070951066,105825.809727572,105825.809727572,0.632087180294042
2025-05-31,105825.809727572,105825.809727572,104349.775089146,104349.775089146,0.254164769482407
2025-06-01,104349.775089146,105228.618567778,104349.775089146,105228.618567778,0.979460083268628
2025-06-10,105228.618567778,109530.523468907,105228.618567778,109372.178005466,0.65864669734681
2025-06-11,109372.178005466,109372.178005466,109241.419474253,109241.419474253,0.949130264888092
2025-06-13,109241.419474253,109241.419474253,103049.00888673,103049.00888673,1.78750545885328
2025-06-26,103049.00888673,106875.259595955,103049.00888673,106875.259595955,0.329602916469066
2025-06-29,106875.259595955,108307.889089566,106875.259595955,108307.889089566,0.506779798403393
2025-07-06,108307.889089566,108790.024094757,108307.889089566,108517.380926511,0.428015348209531
2025-07-11,108517.380926511,116492.412181869,108517.380926511,116492.412181869,0.123007569430786
2025-07-12,116492.412181869,117939.567735828,116492.412181869,117939.567735828,2.915248987110201
2025-07-15,117939.567735828,117939.567735828,116912.481241871,116912.481241871,0.867824760741991
