date,open,high,low,close,volume_usd
2026-01-09,1.00298016725096e-12,1.00298016725096e-12,9.91880560597817e-13,9.94386640857861e-13,2.942406872776
2026-01-10,9.94386640857861e-13,9.94386640857861e-13,9.88409418508408e-13,9.89113115665922e-13,9.441913139960732
2026-01-11,9.89113115665922e-13,1.00965902073531e-12,9.81710268710281e-13,1.00598355345707e-12,17.86365457043969
2026-01-12,1.00598355345707e-12,1.00598355345707e-12,9.19979205235782e-13,9.2577849472894e-13,104.7269644402469
2026-01-13,9.2577849472894e-13,9.71484848003455e-13,9.23416483435103e-13,9.4728707635155e-13,70.19562689830569
2026-01-14,9.4728707635155e-13,1.30916617988046e-12,9.4368773693304e-13,1.24567506829195e-12,364.91166619280517
2026-01-15,1.24567506829195e-12,1.24567506829195e-12,8.40920568695285e-13,8.58501203269629e-13,340.9991310452291
2026-01-16,8.58501203269629e-13,8.76730438098462e-13,8.58501203269629e-13,8.71193555170998e-13,26.80469736759233
2026-01-17,8.71193555170998e-13,9.23098092479698e-13,8.71193555170998e-13,9.23098092479698e-13,36.984205085073846
2026-01-18,9.23098092479698e-13,9.26964471322528e-13,9.04116044829353e-13,9.26964471322528e-13,26.769081830280783
2026-01-19,9.26964471322528e-13,9.26964471322528e-13,8.95663352257442e-13,8.95753052361822e-13,27.51306712836291
2026-01-20,8.95753052361822e-13,8.95753052361822e-13,7.60272092594213e-13,7.60272092594213e-13,58.0453626927244
2026-01-21,7.60272092594213e-13,1.00863921646266e-12,7.20704525542171e-13,7.64281913048036e-13,579.3948593561871
2026-01-22,7.64281913048036e-13,7.64281913048036e-13,7.24209651514203e-13,7.31610013656829e-13,29.930647723459536
2026-01-24,7.31610013656829e-13,7.38514963956185e-13,7.31610013656829e-13,7.38514963956185e-13,0.982005544725
2026-01-25,7.38514963956185e-13,7.3975760631755e-13,7.35228370113051e-13,7.35228370113051e-13,6.01141163956346
2026-01-26,7.35228370113051e-13,7.64160250051715e-13,6.61353064375579e-13,7.64160250051715e-13,168.70092477129893
2026-01-27,7.64160250051715e-13,7.64160250051715e-13,7.57550223773249e-13,7.57550223773249e-13,0.719100998906633
2026-01-28,7.57550223773249e-13,8.38352586183505e-13,7.57550223773249e-13,8.38106489088239e-13,59.33115249686632
2026-01-29,8.38106489088239e-13,8.38106489088239e-13,8.19425474793323e-13,8.22510037395386e-13,9.99620618889135
2026-01-30,8.22510037395386e-13,8.22510037395386e-13,7.67398611475055e-13,8.05720123896478e-13,66.72293602432711
2026-01-31,8.05720123896478e-13,8.62720484298504e-13,7.78565115101128e-13,8.00860581810971e-13,131.4472849101973
2026-02-01,8.00860581810971e-13,8.30587517220712e-13,7.59015413717252e-13,8.27246212755763e-13,63.15525749355655
2026-02-02,8.27246212755763e-13,8.45303161550253e-13,8.03165967411977e-13,8.45303161550253e-13,8.550730339822085
2026-02-03,8.45303161550253e-13,8.45303161550253e-13,7.45687213184571e-13,7.45687213184571e-13,15.54528738251116
2026-02-04,7.45687213184571e-13,8.8456656620761e-13,7.45687213184571e-13,7.77785873703875e-13,125.65133326968521
2026-02-05,7.77785873703875e-13,7.83464667944137e-13,4.47100700707614e-13,6.37280974978354e-13,721.4179555128368
2026-02-06,6.37280974978354e-13,6.37280974978354e-13,4.92198969276228e-13,5.5439002753882e-13,195.03786328142502
2026-02-07,5.5439002753882e-13,6.19069641395281e-13,4.38219618830827e-13,4.88596137465262e-13,328.83440332107784
2026-02-08,4.57295466554877e-13,4.69080354395761e-13,4.45228335403169e-13,4.57295466554877e-13,73.95347632085817
2026-02-09,4.57295466554877e-13,6.45118433718228e-13,4.23701622717013e-13,6.30102490197522e-13,253.25586342411756
2026-02-10,6.30102490197522e-13,6.30102490197522e-13,5.98788217809504e-13,5.98788217809504e-13,4.50977055503143
2026-02-11,5.98788217809504e-13,5.98788217809504e-13,5.76618332640825e-13,5.78674396335917e-13,2.56002268382849
2026-02-12,5.78674396335917e-13,5.85664081943475e-13,5.64557442511339e-13,5.66362721001151e-13,21.484452663125655
2026-02-14,5.66362721001151e-13,5.99525212684828e-13,5.66362721001151e-13,5.92817583599186e-13,14.07887074798913
2026-02-15,5.92817583599186e-13,5.92817583599186e-13,5.89329414098726e-13,5.89329414098726e-13,0.590224693511725
2026-02-16,5.89329414098726e-13,5.89329414098726e-13,5.60547658963431e-13,5.60547658963431e-13,1.97415881327235
2026-02-18,5.60547658963431e-13,5.64928861761262e-13,5.60547658963431e-13,5.64928861761262e-13,4.91705787149204
2026-02-19,5.64928861761262e-13,5.8434557500767e-13,5.64928861761262e-13,5.8434557500767e-13,19.225920907933673
2026-02-20,5.8434557500767e-13,5.8434557500767e-13,5.83068951138655e-13,5.83068951138655e-13,0.815521125550129
2026-02-21,5.83068951138655e-13,6.17319864111633e-13,5.83068951138655e-13,6.17319864111633e-13,31.230839828795116
2026-02-22,6.17319864111633e-13,6.21795274916133e-13,6.17319864111633e-13,6.21795274916133e-13,0.652264858389926
2026-02-23,6.21795274916133e-13,6.21795274916133e-13,5.89696691383483e-13,5.89696691383483e-13,0.970058853833781
2026-02-24,5.89696691383483e-13,5.89696691383483e-13,5.70319919193486e-13,5.70319919193486e-13,17.7996275919274
2026-02-25,5.70319919193486e-13,7.49108340788417e-13,5.70319919193486e-13,7.45386332801195e-13,112.85918832338291
2026-02-27,7.45386332801195e-13,7.45386332801195e-13,6.59081315477628e-13,6.59081315477628e-13,55.734637686896015
2026-02-28,6.59081315477628e-13,6.59081315477628e-13,5.61775574352597e-13,5.78136739603779e-13,38.84160282656268
2026-03-01,5.78136739603779e-13,6.19235467236843e-13,5.78136739603779e-13,5.88114051948958e-13,4.3269134543175065
2026-03-02,5.88114051948958e-13,6.26567208976111e-13,5.88114051948958e-13,6.26567208976111e-13,2.27734623416604
2026-03-03,6.26567208976111e-13,6.26567208976111e-13,5.96543936002445e-13,6.02834793837378e-13,1.7496551717758486
2026-03-04,6.02834793837378e-13,6.58844462529866e-13,6.02834793837378e-13,6.51909066082289e-13,0.651031487900817
2026-03-05,6.51909066082289e-13,6.51909066082289e-13,6.33870751257336e-13,6.36275980550873e-13,2.563124874960825
2026-03-06,6.36275980550873e-13,6.57557115192655e-13,5.8431430318881e-13,5.88144358834601e-13,61.901987572579316
