date,open,high,low,close,volume_usd
2024-03-31,4.09475366971261e-06,4.09690024102102e-06,3.92723515913618e-06,3.92723515913618e-06,5.462344485143193
2024-04-01,3.92723515913618e-06,4.01821229417398e-06,3.92723515913618e-06,3.95758640776267e-06,1.350475733164199
2024-04-02,3.95758640776267e-06,4.20759940178448e-06,3.80256137579672e-06,3.80256137579672e-06,9.50603986833802
2024-04-03,3.80256137579672e-06,4.05030430476441e-06,3.80256137579672e-06,4.05030430476441e-06,10.7663266404115
2024-04-04,4.05030430476441e-06,4.05030430476441e-06,3.45900054717682e-06,3.58956769929392e-06,18.226895694991438
2024-04-05,3.58956769929392e-06,3.58956769929392e-06,3.31076301698856e-06,3.47536831060427e-06,6.394344387635459
2024-04-06,3.47536831060427e-06,3.49768929705186e-06,3.33119138760928e-06,3.33119138760928e-06,8.048412082565436
2024-04-07,3.33119138760928e-06,3.70862659591859e-06,3.33119138760928e-06,3.70862659591859e-06,10.357151807968227
2024-04-08,3.70862659591859e-06,4.46510436826675e-06,3.70862659591859e-06,4.46510436826675e-06,3.499374020976337
2024-04-09,4.46510436826675e-06,4.49932465651789e-06,4.3641007796941e-06,4.49932465651789e-06,8.421972912818326
2024-04-10,4.49932465651789e-06,4.76294754721924e-06,4.49932465651789e-06,4.68975410202066e-06,17.17487612320976
2024-04-11,4.68975410202066e-06,4.68975410202066e-06,4.3160848393347e-06,4.35455182718011e-06,250.55007045248436
2024-04-12,4.35455182718011e-06,4.60880647204404e-06,4.18789222479711e-06,4.20564487586692e-06,39.583733148061384
2024-04-13,4.20564487586692e-06,4.2503349400202e-06,3.75929057908259e-06,3.7763355025601e-06,26.2455256228663
2024-04-14,3.7763355025601e-06,4.11321281300963e-06,3.7763355025601e-06,4.0196513712304e-06,23.09245613476035
2024-04-15,4.0196513712304e-06,4.84597286309205e-06,3.99715291025114e-06,3.99715291025114e-06,29.80995997534199
2024-04-16,3.99715291025114e-06,4.1026814694513e-06,3.76005323585136e-06,3.986126483347e-06,12.48006528057757
2024-04-17,3.986126483347e-06,3.986126483347e-06,3.82992714661238e-06,3.83249029438133e-06,11.09343725717649
2024-04-18,3.83249029438133e-06,3.83249029438133e-06,3.2856576992832e-06,3.36615797925106e-06,20.866237943037863
2024-04-19,3.36615797925106e-06,3.36615797925106e-06,3.02033178360464e-06,3.02033178360464e-06,5.317172028874678
2024-04-20,3.02033178360464e-06,3.03897863659681e-06,2.9781992510415e-06,3.03784952818197e-06,7.936833079342981
