date,open,high,low,close,volume_usd
2025-03-29,5.52088910598663e-06,6.24956598499399e-06,5.30294323012319e-06,5.58223556663178e-06,781.8453145701658
2025-03-30,5.58223556663178e-06,5.80236012581421e-06,4.94502174101295e-06,4.94502174101295e-06,351.54857098937936
2025-03-31,4.94502174101295e-06,6.19008927006035e-06,4.91476286709749e-06,5.40355518133028e-06,595.7463747072946
2025-04-01,5.40355518133028e-06,6.38268762319626e-06,5.4012433174971e-06,5.8066342372796e-06,826.3982868309627
2025-04-02,5.8066342372796e-06,5.8066342372796e-06,4.56563131998012e-06,4.69066679416971e-06,87.74564376449555
2025-04-03,4.69066679416971e-06,5.28438536013386e-06,4.27696621276231e-06,4.95282253440837e-06,17.157600836655636
2025-04-04,4.95282253440837e-06,5.3123289220958e-06,4.5254598199795e-06,4.92718713316071e-06,28.110909593438507
2025-04-05,4.92718713316071e-06,5.4861095743655e-06,4.78255009726643e-06,5.4861095743655e-06,85.0222986732355
2025-04-06,5.4861095743655e-06,5.51924653975216e-06,4.10243870621744e-06,4.10243870621744e-06,80.52739710313463
2025-04-07,4.10243870621744e-06,4.31762675335117e-06,3.47671697891931e-06,4.00115720512464e-06,30.092007642098388
2025-04-08,4.00115720512464e-06,4.21583560048274e-06,3.25086308194741e-06,3.37738264469786e-06,24.901159481309755
2025-04-09,3.37738264469786e-06,5.3143636350704e-06,3.17941148383871e-06,5.11151080295955e-06,594.5172575359171
2025-04-10,5.11151080295955e-06,5.1228262799604e-06,3.86131867537516e-06,3.94901914953698e-06,92.61882637132334
2025-04-11,3.94901914953698e-06,4.44262886204042e-06,3.94901914953698e-06,4.08878110282244e-06,12.489095703891254
2025-04-12,4.08878110282244e-06,5.82916250346374e-06,4.08878110282244e-06,4.86548838673109e-06,942.8584975084627
2025-04-13,4.86548838673109e-06,4.86548838673109e-06,4.14138425980755e-06,4.26561056357995e-06,37.830044556484104
2025-04-14,4.26561056357995e-06,5.65133869948465e-06,4.26561056357995e-06,4.78930789138747e-06,928.8767228924537
2025-04-15,4.78930789138747e-06,5.18244561376382e-06,4.48025752599968e-06,4.48025752599968e-06,361.3912453452945
2025-04-16,4.48025752599968e-06,4.48025752599968e-06,4.10404683614574e-06,4.15670831106346e-06,4.309051308098619
2025-04-17,4.15670831106346e-06,4.70976900848072e-06,4.03943338280244e-06,4.34725365065312e-06,22.6696464426274
2025-04-18,4.34725365065312e-06,4.34725365065312e-06,4.07896193971144e-06,4.20399306753038e-06,4.441082836169118
2025-04-19,4.20399306753038e-06,4.76042748099726e-06,4.20399306753038e-06,4.76042748099726e-06,21.75158248737544
2025-04-20,4.76042748099726e-06,5.28777317394416e-06,4.42798852956968e-06,5.0965499793196e-06,269.8378006442978
2025-04-21,5.0965499793196e-06,5.81292678768687e-06,4.48404872316663e-06,4.74029514239526e-06,1028.8067733144348
2025-04-22,4.74029514239526e-06,5.97663734134591e-06,4.5093915209702e-06,5.97663734134591e-06,719.3680227971126
2025-04-23,5.97663734134591e-06,6.04609319365874e-06,5.24893229212617e-06,5.35377003858323e-06,599.0528713462669
2025-04-24,5.35377003858323e-06,5.45877153830176e-06,5.07483475203502e-06,5.45877153830176e-06,227.2779747545723
2025-04-25,5.45877153830176e-06,5.74001797482617e-06,5.43886906978201e-06,5.67032819948186e-06,238.90336712634337
2025-04-26,5.67032819948186e-06,7.07797821231374e-06,5.67032819948186e-06,6.12414486183376e-06,508.935003746612
2025-04-27,6.12414486183376e-06,6.25412644590049e-06,5.53368798888194e-06,5.59350404666007e-06,395.6209070741638
2025-04-28,5.59350404666007e-06,6.30682576549748e-06,5.26896882159239e-06,5.73315142815635e-06,747.2926065323105
2025-04-29,5.73315142815635e-06,6.26404442568287e-06,5.30637827496662e-06,5.9903924767099e-06,611.6692624286122
2025-04-30,5.9903924767099e-06,6.16601369594161e-06,5.5148622755794e-06,5.98634760119111e-06,241.00857796828402
2025-05-01,5.98634760119111e-06,6.13863651984184e-06,5.65468068303028e-06,5.9872326923945e-06,775.252529413762
2025-05-02,5.9872326923945e-06,6.00703754245382e-06,5.42271080256129e-06,5.5692373761803e-06,401.6802039619006
2025-05-03,5.5692373761803e-06,5.5692373761803e-06,5.27094625789203e-06,5.51329852353719e-06,227.01922958311266
2025-05-04,5.51329852353719e-06,5.53216003756839e-06,5.10055198631219e-06,5.10055198631219e-06,67.27988125550014
2025-05-05,5.10055198631219e-06,5.13875647217824e-06,4.01401609268905e-06,4.48164203931557e-06,42.94038712370543
2025-05-06,4.48164203931557e-06,4.51592728587885e-06,4.07172790961178e-06,4.16356285139216e-06,26.73583114980898
2025-05-07,4.16356285139216e-06,4.78496952725704e-06,4.16356285139216e-06,4.78106666301643e-06,20.06185674878287
2025-05-08,4.78106666301643e-06,6.27251834501752e-06,4.78106666301643e-06,6.17142604401176e-06,735.5764341937498
2025-05-09,6.17142604401176e-06,7.90250994063384e-06,6.17142604401176e-06,7.22293722158275e-06,1159.370592666222
2025-05-10,7.22293722158275e-06,8.44247424993898e-06,6.67677738643174e-06,8.44247424993898e-06,1187.2624690194764
2025-05-11,8.44247424993898e-06,8.49248814148185e-06,6.66187828506923e-06,6.73220003222965e-06,439.6790740080215
2025-05-12,6.73220003222965e-06,8.23480875423478e-06,6.53797576443773e-06,7.29354677303969e-06,697.9989855738871
2025-05-13,7.29354677303969e-06,1.01905854348319e-05,6.82510049694683e-06,9.57428732828555e-06,1723.0349388958593
2025-05-14,9.57428732828555e-06,9.57428732828555e-06,8.00485215916512e-06,8.6190696843391e-06,8.698688310417774
2025-05-15,8.6190696843391e-06,8.6190696843391e-06,7.66820983883616e-06,7.93477400807282e-06,5.865296854080906
2025-05-16,7.93477400807282e-06,7.93883316066871e-06,7.37515567319553e-06,7.49196102242859e-06,5.336727894347408
2025-05-17,7.49196102242859e-06,7.49196102242859e-06,7.15047248057706e-06,7.15047248057706e-06,1.947215745963448
2025-05-18,7.15047248057706e-06,7.66150583219012e-06,7.15047248057706e-06,7.20036878277355e-06,1.5757349425900173
2025-05-19,7.20036878277355e-06,7.29861318044834e-06,6.90222696010587e-06,7.0088412071141e-06,1.7342663946570058
2025-05-20,7.0088412071141e-06,8.16464670463687e-06,7.0088412071141e-06,8.16464670463687e-06,7.53428122266993
2025-05-21,8.16464670463687e-06,8.52097365997186e-06,7.33585451622974e-06,7.51347361803117e-06,8.451966055193747
