date,open,high,low,close,volume_usd
2025-06-24,5.47714357297503e-05,5.59890304971775e-05,5.47714357297503e-05,5.50488669270529e-05,0.6001750635991928
2025-06-25,5.50488669270529e-05,5.7169356849305e-05,5.46596368439896e-05,5.70860280357094e-05,0.942859356976971
2025-06-26,5.70860280357094e-05,5.85471960595823e-05,5.51577079639907e-05,5.51577079639907e-05,0.4531929896730596
2025-06-27,5.51577079639907e-05,5.71436325546053e-05,5.51577079639907e-05,5.71436325546053e-05,0.321111773409271
2025-06-28,5.71436325546053e-05,5.83825857335494e-05,5.71436325546053e-05,5.83028028183004e-05,0.7587383270219892
2025-06-29,5.83028028183004e-05,5.8514098895506e-05,5.70244975655672e-05,5.70244975655672e-05,0.344258328129904
2025-06-30,5.70244975655672e-05,6.09090799895208e-05,5.70244975655672e-05,6.06902820736733e-05,0.5608709338185706
2025-07-01,6.06902820736733e-05,6.06902820736733e-05,5.94060439249303e-05,5.94060439249303e-05,0.166559401798671
2025-07-02,5.94060439249303e-05,5.94060439249303e-05,5.32849117448869e-05,5.41387187017129e-05,0.826450464274119
2025-07-03,5.41387187017129e-05,5.59199394710286e-05,5.41387187017129e-05,5.55965246287825e-05,0.824245061358084
2025-07-04,5.55965246287825e-05,5.69093101067392e-05,5.09264104676546e-05,5.17587566975947e-05,2.9374313999109654
2025-07-05,5.17587566975947e-05,5.3124867805713e-05,5.17587566975947e-05,5.26328442493187e-05,0.8420835342793515
2025-07-06,5.26328442493187e-05,5.43639941119662e-05,5.26328442493187e-05,5.40154774343551e-05,0.6758417124228308
2025-07-07,5.40154774343551e-05,5.40154774343551e-05,5.2500177841431e-05,5.2500177841431e-05,0.302195114722532
2025-07-08,5.2500177841431e-05,5.36870822884093e-05,5.22574553542877e-05,5.36833075354619e-05,0.2844438867626769
2025-07-09,5.36833075354619e-05,5.87091888095784e-05,5.36833075354619e-05,5.87091888095784e-05,0.48786984108542
2025-07-10,5.87091888095784e-05,6.59056637398658e-05,5.87091888095784e-05,6.59056637398658e-05,1.570593632844042
2025-07-11,6.59056637398658e-05,6.79568858980577e-05,6.59056637398658e-05,6.78708373683471e-05,1.095438893481621
2025-07-12,6.78708373683471e-05,6.78708373683471e-05,5.91709809544996e-05,6.14130980407809e-05,1.233962705892581
2025-07-13,6.14130980407809e-05,7.00050402366484e-05,6.14130980407809e-05,7.00050402366484e-05,1.052757125470404
2025-07-14,7.00050402366484e-05,7.00050402366484e-05,6.29907262569438e-05,6.29907262569438e-05,0.627898403563119
2025-07-15,6.29907262569438e-05,6.6243194970147e-05,6.14503526691263e-05,6.6243194970147e-05,1.499330095615756
2025-07-16,6.6243194970147e-05,7.67529210930997e-05,6.6243194970147e-05,7.67529210930997e-05,1.684412586751523
2025-07-17,7.67529210930997e-05,7.67529210930997e-05,7.36475985049683e-05,7.36475985049683e-05,1.468023379865153
2025-07-18,7.36475985049683e-05,7.83115269267254e-05,6.79153181795628e-05,7.83115269267254e-05,1.99300796705101
2025-07-19,7.83115269267254e-05,7.83115269267254e-05,7.34433800512869e-05,7.67786379872216e-05,3.620882637578094
2025-07-20,7.67786379872216e-05,8.08457912960967e-05,7.49231628109654e-05,8.08457912960967e-05,1.1457408111699
2025-07-21,8.08457912960967e-05,8.6247905375061e-05,7.83872779880974e-05,7.83872779880974e-05,1.317727490555162
2025-07-22,7.83872779880974e-05,7.83872779880974e-05,7.32751495809879e-05,7.48016111842007e-05,0.840867831026071
2025-07-23,7.48016111842007e-05,7.50611743589212e-05,7.01244352289394e-05,7.01244352289394e-05,1.069540548469815
2025-07-24,7.01244352289394e-05,7.01244352289394e-05,6.89266550709827e-05,6.8971971731755e-05,1.125424005824721
2025-07-25,6.8971971731755e-05,6.8971971731755e-05,6.7629014533789e-05,6.8025674100605e-05,0.654922627335851
2025-07-27,6.8025674100605e-05,6.8025674100605e-05,6.71736479734228e-05,6.71736479734228e-05,0.336073053199332
2025-07-28,6.71736479734228e-05,7.63573289644592e-05,6.71736479734228e-05,7.48785827743797e-05,1.768205623453174
2025-07-29,7.48785827743797e-05,8.02145451596429e-05,7.27353101584408e-05,7.27353101584408e-05,1.599962016953279
2025-07-30,7.27353101584408e-05,7.33114101193999e-05,7.27353101584408e-05,7.33114101193999e-05,0.318760954802083
2025-07-31,7.33114101193999e-05,7.33114101193999e-05,6.52928233463725e-05,6.52928233463725e-05,1.034971365044118
2025-08-01,6.52928233463725e-05,6.52928233463725e-05,5.61923315730826e-05,5.61923315730826e-05,1.37097966328885
2025-08-02,5.61923315730826e-05,5.9860173129414e-05,5.52402863522073e-05,5.9860173129414e-05,1.393109404939509
2025-08-03,5.9860173129414e-05,6.38746410362834e-05,5.9860173129414e-05,6.33750224835022e-05,1.302788318698739
2025-08-04,6.33750224835022e-05,6.42530285651414e-05,6.33750224835022e-05,6.42530285651414e-05,0.942972016263765
2025-08-05,6.42530285651414e-05,6.42530285651414e-05,6.04742914910607e-05,6.04742914910607e-05,0.354077013170987
2025-08-06,6.04742914910607e-05,6.85761495542229e-05,6.02161715610066e-05,6.85761495542229e-05,2.609732682351769
2025-08-07,6.85761495542229e-05,7.87496600476421e-05,6.85761495542229e-05,7.87496600476421e-05,2.226740057899353
2025-08-08,7.87496600476421e-05,0.000103674071440207,7.87496600476421e-05,0.000103674071440207,3.866780159038237
2025-08-09,0.000103674071440207,0.000116201714786342,9.84182656415614e-05,0.000116201714786342,6.523445010075934
2025-08-10,0.000116201714786342,0.000116201714786342,0.000104538562221479,0.000104538562221479,1.737454425469878
2025-08-11,0.000104538562221479,0.000104538562221479,8.7791318251317e-05,8.7791318251317e-05,4.029876209612472
2025-08-12,8.7791318251317e-05,9.35765645270499e-05,8.7791318251317e-05,9.35765645270499e-05,0.75871308399427
2025-08-13,9.35765645270499e-05,9.88701329054031e-05,9.35765645270499e-05,9.88701329054031e-05,1.381623481519454
2025-08-14,9.88701329054031e-05,9.88701329054031e-05,8.10381706814039e-05,8.10381706814039e-05,1.485414006190225
2025-08-15,8.10381706814039e-05,8.26156038684757e-05,7.68449019118009e-05,8.26156038684757e-05,2.137169946845035
2025-08-16,8.26156038684757e-05,8.50570440642519e-05,8.13643036896788e-05,8.50570440642519e-05,0.78033723998834
2025-08-17,8.50570440642519e-05,8.54021677804462e-05,8.01421614264017e-05,8.01421614264017e-05,0.917240665355532
2025-08-18,8.01421614264017e-05,8.01421614264017e-05,7.32507807179666e-05,7.32507807179666e-05,0.404545316205979
2025-08-20,7.32507807179666e-05,7.41267630717589e-05,7.32507807179666e-05,7.39012686887115e-05,0.784824527509575
2025-08-21,7.39012686887115e-05,7.39012686887115e-05,6.74253957605834e-05,6.74253957605834e-05,1.368416660076082
2025-08-22,6.74253957605834e-05,7.71354924884762e-05,6.67451382274846e-05,7.71354924884762e-05,1.349579374353852
2025-08-23,7.71354924884762e-05,7.71354924884762e-05,7.39433748308879e-05,7.39433748308879e-05,0.193391109310487
2025-08-24,7.39433748308879e-05,7.93680990555813e-05,7.06279061804053e-05,7.06279061804053e-05,1.728640529213529
2025-08-26,7.06279061804053e-05,7.06279061804053e-05,6.9598719677484e-05,6.9598719677484e-05,0.379525758536182
2025-08-27,6.9598719677484e-05,6.9598719677484e-05,6.60347091587925e-05,6.60347091587925e-05,0.341087952213286
2025-08-28,6.60347091587925e-05,6.72264318159865e-05,6.23048141199325e-05,6.51097198306089e-05,2.096202036379971
2025-08-29,6.51097198306089e-05,6.54238896043511e-05,6.04415416637286e-05,6.1428837190468e-05,0.843196012319845
2025-08-30,6.1428837190468e-05,6.22623087750837e-05,6.005337028979e-05,6.005337028979e-05,0.3456401443286046
2025-08-31,6.005337028979e-05,6.40387322765016e-05,6.005337028979e-05,6.40387322765016e-05,1.097652262761652
2025-09-01,6.40387322765016e-05,6.40387322765016e-05,5.88016839658428e-05,5.95854774911324e-05,0.3836120675229818
2025-09-02,5.95854774911324e-05,6.09158351661099e-05,5.80016133217983e-05,5.91314692702366e-05,0.7855643557840332
2025-09-03,5.91314692702366e-05,6.03900940758916e-05,5.87105355445283e-05,6.02920862602081e-05,0.875752711855594
2025-09-04,6.02920862602081e-05,6.02920862602081e-05,5.94036524877153e-05,5.94036524877153e-05,0.1743177026616556
2025-09-05,5.94036524877153e-05,6.04150522115402e-05,5.94036524877153e-05,6.01624455782944e-05,0.3890790454596497
2025-09-06,6.01624455782944e-05,6.0828011581508e-05,5.81671026213079e-05,5.81671026213079e-05,0.6380495688201856
2025-09-07,5.81671026213079e-05,5.84526861179196e-05,5.81671026213079e-05,5.84526861179196e-05,0.0587240645494212
2025-09-08,5.84526861179196e-05,5.93530447249884e-05,5.778787526428e-05,5.82384290421416e-05,0.6218880461076538
2025-09-09,5.82384290421416e-05,6.01438657048236e-05,5.79398749603311e-05,5.93044032466565e-05,0.7412774444894072
2025-09-10,5.93044032466565e-05,6.39310211976204e-05,5.93044032466565e-05,6.24511459680268e-05,0.7709220897072132
2025-09-11,6.24511459680268e-05,6.24511459680268e-05,6.0403672609193e-05,6.0991377257459e-05,0.522181728512331
2025-09-12,6.0991377257459e-05,6.48214456459826e-05,6.0991377257459e-05,6.48214456459826e-05,0.362890733477765
2025-09-13,6.48214456459826e-05,6.54087028289383e-05,6.25944212815742e-05,6.25944212815742e-05,1.458317790576075
2025-09-14,6.25944212815742e-05,6.39805368117639e-05,6.05676258318488e-05,6.14080094729845e-05,1.2810152113504507
2025-09-15,6.14080094729845e-05,6.73744009984095e-05,6.14080094729845e-05,6.37153313620373e-05,1.869866512914316
2025-09-16,6.37153313620373e-05,6.37153313620373e-05,5.64127808197391e-05,5.64127808197391e-05,0.985294587362918
2025-09-17,5.64127808197391e-05,6.54268981178342e-05,5.64127808197391e-05,6.07605705807185e-05,21.56889964302875
2025-09-18,6.07605705807185e-05,6.24943983572281e-05,5.99777018615646e-05,6.03400076422557e-05,1.732552248386301
2025-09-19,6.03400076422557e-05,6.03400076422557e-05,5.54444168363944e-05,5.60122561747652e-05,1.235795309106079
2025-09-20,5.60122561747652e-05,5.74372513422919e-05,5.59847273299874e-05,5.74372513422919e-05,1.232564996966769
2025-09-21,5.74372513422919e-05,5.74372513422919e-05,5.33413386626763e-05,5.53184348692129e-05,0.725492509377392
2025-09-22,5.53184348692129e-05,5.53184348692129e-05,5.2192826009522e-05,5.4167536103794e-05,1.069345796628659
2025-09-23,5.4167536103794e-05,5.49495365827047e-05,5.27271977290002e-05,5.27271977290002e-05,1.095309168434564
2025-09-24,5.27271977290002e-05,5.27856882610511e-05,4.99868332666195e-05,5.01199107176426e-05,2.20387147479333
2025-09-26,5.01199107176426e-05,5.01234389812207e-05,4.80466878426878e-05,5.01234389812207e-05,1.191612994216386
2025-09-27,5.01234389812207e-05,5.0306959682743e-05,4.90876435873268e-05,4.90876435873268e-05,0.672067055099336
2025-09-28,4.90876435873268e-05,5.03034215607491e-05,4.90876435873268e-05,5.03034215607491e-05,0.322762125687267
2025-09-29,5.03034215607491e-05,5.06416266713999e-05,5.03034215607491e-05,5.06416266713999e-05,0.205725364161964
2025-10-02,5.06416266713999e-05,5.41509578579874e-05,4.98518483902179e-05,5.41509578579874e-05,0.0762745692575548
2025-10-07,5.41509578579874e-05,5.43239076283468e-05,5.41509578579874e-05,5.43239076283468e-05,0.0550593644425784
2025-10-08,5.43239076283468e-05,5.43239076283468e-05,5.33500715816234e-05,5.41842033187299e-05,0.04582335950548391
2025-10-10,5.41842033187299e-05,5.41842033187299e-05,4.8438951317205e-05,4.8438951317205e-05,0.0930195482689224
2025-10-11,4.8438951317205e-05,4.8830818507977e-05,4.8438951317205e-05,4.8830818507977e-05,0.0460225617872357
2025-10-17,4.8830818507977e-05,4.8830818507977e-05,3.90047457092003e-05,3.90047457092003e-05,0.00534624918901405
2025-10-19,3.90047457092003e-05,4.05882016803122e-05,3.90047457092003e-05,4.05882016803122e-05,0.0119457272119093
2025-10-22,4.05882016803122e-05,4.05882016803122e-05,3.31842018656127e-05,3.31842018656127e-05,0.0405713331463355
2025-10-23,3.31842018656127e-05,3.67989899173557e-05,3.31842018656127e-05,3.63746510350395e-05,0.02856143237767142
2025-10-24,3.63746510350395e-05,3.98408388534786e-05,3.63746510350395e-05,3.98408388534786e-05,0.00782072506362242
2025-10-25,3.98408388534786e-05,4.84176287513393e-05,3.98408388534786e-05,4.84176287513393e-05,0.0843113584642393
2025-10-27,4.84176287513393e-05,5.98229224721456e-05,4.84176287513393e-05,5.31975953897635e-05,0.04763410472257768
2025-10-29,5.31975953897635e-05,5.8208331132085e-05,5.31975953897635e-05,5.67004328023589e-05,0.0222546520201258
2025-10-31,5.67004328023589e-05,5.67004328023589e-05,4.400527491963e-05,4.50173767338414e-05,0.05700579699910871
2025-11-01,4.50173767338414e-05,4.50173767338414e-05,4.06993543776546e-05,4.06993543776546e-05,0.00228314261121721
2025-11-06,4.06993543776546e-05,4.06993543776546e-05,3.58075317932101e-05,3.58075317932101e-05,0.0261687958255453
2025-11-07,3.58075317932101e-05,4.40647991259718e-05,3.58075317932101e-05,4.40647991259718e-05,0.0438123884950061
2025-11-08,4.40647991259718e-05,4.40647991259718e-05,3.87053895390549e-05,3.87053895390549e-05,0.0143189326211761
2025-11-09,3.87053895390549e-05,4.38421339205592e-05,3.87053895390549e-05,4.38421339205592e-05,0.0252757523392438
2025-11-13,4.38421339205592e-05,4.38421339205592e-05,3.31373086306753e-05,3.31373086306753e-05,0.0402023417550397
2025-11-15,3.31373086306753e-05,3.3298531601681e-05,3.31373086306753e-05,3.3298531601681e-05,0.0208118682949952
2025-11-18,3.3298531601681e-05,3.3298531601681e-05,3.11643196716495e-05,3.18929156944567e-05,0.0258627748418674
2025-11-19,3.18929156944567e-05,3.18929156944567e-05,3.02410276605942e-05,3.02410276605942e-05,0.0116332448621494
2025-11-22,3.02410276605942e-05,3.02410276605942e-05,2.33537505002093e-05,2.33537505002093e-05,0.0109683514978246
2025-11-23,2.33537505002093e-05,2.51347291186095e-05,2.33537505002093e-05,2.49810866769484e-05,0.1498035024738676
2025-11-26,2.49810866769484e-05,2.49810866769484e-05,2.38281617712568e-05,2.38281617712568e-05,0.0103027637401162
2025-11-27,2.38281617712568e-05,2.54284248798702e-05,2.38281617712568e-05,2.54284248798702e-05,0.0104085082507353
2025-11-28,2.54284248798702e-05,2.55594999925246e-05,2.49753528557974e-05,2.55594999925246e-05,0.03063549236637612
2025-11-30,2.55594999925246e-05,2.55834387453765e-05,2.55491113329805e-05,2.55834387453765e-05,0.01222986671357686
2025-12-01,2.55834387453765e-05,2.55834387453765e-05,2.30341272523239e-05,2.30341272523239e-05,0.01997466881965901
2025-12-02,2.30341272523239e-05,2.48577768106256e-05,2.30341272523239e-05,2.48577768106256e-05,0.02029308657180501
2025-12-03,2.48577768106256e-05,2.61566640758632e-05,2.47813200513207e-05,2.61566640758632e-05,0.0228192296166894
2025-12-04,2.61566640758632e-05,2.80935669466842e-05,2.61566640758632e-05,2.80935669466842e-05,0.020775979578071
2025-12-05,2.80935669466842e-05,2.80935669466842e-05,2.47916402891401e-05,2.47916402891401e-05,0.0107386277509074
2025-12-07,2.47916402891401e-05,2.47916402891401e-05,2.43483275059151e-05,2.43483275059151e-05,0.014162648747916
2025-12-09,2.43483275059151e-05,2.47471020822652e-05,2.33561815307982e-05,2.33561815307982e-05,0.034655874036808
2025-12-13,2.33561815307982e-05,2.33561815307982e-05,2.13751506683252e-05,2.13751506683252e-05,0.0100418915565597
2025-12-15,2.13751506683252e-05,2.13751506683252e-05,2.01662657898852e-05,2.01662657898852e-05,0.011821085501574
2025-12-16,2.01662657898852e-05,2.01662657898852e-05,1.80367210575397e-05,1.80367210575397e-05,0.0198788988196747
2025-12-18,1.80367210575397e-05,1.80367210575397e-05,1.62909049009164e-05,1.62909049009164e-05,0.0351783584935035
2025-12-19,1.62909049009164e-05,1.62909049009164e-05,1.38493731664069e-05,1.38493731664069e-05,0.0202040273328643
2025-12-21,1.38493731664069e-05,1.60741599147518e-05,1.38493731664069e-05,1.60741599147518e-05,0.014566915097762
2025-12-22,1.60741599147518e-05,1.74059510543633e-05,1.60741599147518e-05,1.74059510543633e-05,0.0036948926548292
2025-12-24,1.74059510543633e-05,1.74059510543633e-05,1.64578438098284e-05,1.64578438098284e-05,0.0104038270678698
2025-12-26,1.64578438098284e-05,1.64578438098284e-05,1.57490679979505e-05,1.57681391681812e-05,0.0304834353128141
2025-12-28,1.57681391681812e-05,1.57681391681812e-05,1.45852159587617e-05,1.45852159587617e-05,0.0125063122762973
2025-12-29,1.45852159587617e-05,1.55217734018341e-05,1.45852159587617e-05,1.55217734018341e-05,0.0156162788268083
2026-01-01,1.55217734018341e-05,1.55217734018341e-05,8.13570704736663e-06,1.17885089830096e-05,0.1875934952219871
2026-01-04,1.17885089830096e-05,2.10631754677578e-05,1.17885089830096e-05,2.10631754677578e-05,0.0499346223918781
2026-01-06,2.10631754677578e-05,2.10631754677578e-05,1.92492919900739e-05,1.92492919900739e-05,0.00822860289767566
2026-01-10,1.92492919900739e-05,1.92492919900739e-05,1.65329995936947e-05,1.65329995936947e-05,0.00760800513344046
2026-01-12,1.65329995936947e-05,1.9616207913832e-05,1.65329995936947e-05,1.9616207913832e-05,0.0176008321163678
2026-01-13,1.9616207913832e-05,2.03256624692708e-05,1.9616207913832e-05,2.03256624692708e-05,0.0202741611968487
2026-01-20,2.03256624692708e-05,2.03256624692708e-05,1.56767759438097e-05,1.56767759438097e-05,0.00508844030220915
2026-01-24,1.56767759438097e-05,1.57391253303674e-05,1.56767759438097e-05,1.57391253303674e-05,0.00719269749041985
2026-01-26,1.57391253303674e-05,1.57391253303674e-05,1.31492263927756e-05,1.31492263927756e-05,0.0209116006334498
2026-01-30,1.31492263927756e-05,1.35165529066654e-05,1.31492263927756e-05,1.35165529066654e-05,0.0109733303900552
2026-02-02,1.35165529066654e-05,1.35165529066654e-05,1.31427836130096e-05,1.31427836130096e-05,0.0174886319496185
2026-02-12,1.31427836130096e-05,1.31427836130096e-05,9.31049045992266e-06,9.31049045992266e-06,0.05765628905307346
2026-02-13,9.31049045992266e-06,9.43132265114225e-06,9.31049045992266e-06,9.43132265114225e-06,0.0081464227962028
2026-02-15,9.43132265114225e-06,1.07992322278759e-05,9.43132265114225e-06,1.07992322278759e-05,0.00797753017494708
