date,open,high,low,close,volume_usd
2026-01-18,1.7563515321426e-07,1.7563515321426e-07,1.70316610471399e-07,1.70316610471399e-07,170.72179750024802
2026-01-19,1.70316610471399e-07,1.70316610471399e-07,1.61722250751263e-07,1.61907581280331e-07,29.501312652805268
2026-01-20,1.61907581280331e-07,1.63154914223621e-07,1.58293317486494e-07,1.58293317486494e-07,44.115909295088
2026-01-21,1.58293317486494e-07,1.58293317486494e-07,1.49001852362613e-07,1.56109510144219e-07,41.89811274145225
2026-01-22,1.56109510144219e-07,1.57631929037462e-07,1.52670755163275e-07,1.52670755163275e-07,49.41456624456748
2026-01-23,1.52670755163275e-07,1.57072589237347e-07,1.49377861300757e-07,1.53771800569378e-07,45.94460937928144
2026-01-24,1.53771800569378e-07,1.57510412738314e-07,1.53148022673853e-07,1.53197274579412e-07,42.998102785444466
2026-01-25,1.53197274579412e-07,1.53197274579412e-07,1.44135864239098e-07,1.44135864239098e-07,54.940451002461735
2026-01-26,1.44135864239098e-07,1.47762516698582e-07,1.44135864239098e-07,1.47762516698582e-07,0.950483218048895
2026-01-27,1.47762516698582e-07,1.53653499305128e-07,1.47762516698582e-07,1.49799698800315e-07,35.02065422970073
2026-01-28,1.49799698800315e-07,1.52191061331835e-07,1.49579412537268e-07,1.52191061331835e-07,2.307220378104012
2026-01-29,1.52191061331835e-07,1.5344502253408e-07,1.47265311033913e-07,1.5344502253408e-07,3.2644833645256024
2026-01-30,1.5344502253408e-07,1.5344502253408e-07,1.36128580846121e-07,1.36128580846121e-07,172.28899819876847
2026-01-31,1.36128580846121e-07,1.361957123618e-07,1.2031927507317e-07,1.22474393681858e-07,11.829197048628636
2026-02-01,1.22474393681858e-07,1.24895700271494e-07,1.19813342604792e-07,1.19813342604792e-07,88.85096413022555
2026-02-02,1.19813342604792e-07,1.22348849500666e-07,1.16642588039374e-07,1.22348849500666e-07,76.6683066128562
2026-02-03,1.22348849500666e-07,1.23330793444317e-07,1.14606029658707e-07,1.19976506586119e-07,50.275108971394886
2026-02-04,1.19976506586119e-07,1.19976506586119e-07,1.11009206004281e-07,1.11009206004281e-07,21.259323966829854
2026-02-05,1.11009206004281e-07,1.11009206004281e-07,9.85715641579528e-08,9.87328099797068e-08,84.63706522942066
2026-02-06,9.87328099797068e-08,1.05541477184336e-07,9.64894171384328e-08,1.05541477184336e-07,53.56540706725949
2026-02-07,1.05599181742535e-07,1.08098162481794e-07,1.0266233064878e-07,1.05599181742535e-07,46.95237643131712
2026-02-08,1.05599181742535e-07,1.07259726323658e-07,1.0381246413902e-07,1.04986770718992e-07,37.3638858813942
2026-02-09,1.04986770718992e-07,1.05687240508611e-07,1.00860549335648e-07,1.05355235141922e-07,39.797570734984
2026-02-10,1.05355235141922e-07,1.05355235141922e-07,9.78587692814484e-08,9.99775985035337e-08,12.789886119389976
2026-02-11,9.99775985035337e-08,9.99775985035337e-08,9.3537834753119e-08,9.3537834753119e-08,48.69579163784766
2026-02-12,9.3537834753119e-08,9.90413990211324e-08,9.3537834753119e-08,9.86967015902174e-08,63.37122764891663
2026-02-13,9.86967015902174e-08,9.95084858233011e-08,9.61137162489116e-08,9.95084858233011e-08,11.888122638185317
2026-02-14,9.95084858233011e-08,1.07888172907022e-07,9.95084858233011e-08,1.07888172907022e-07,129.42377837648073
2026-02-15,1.07888172907022e-07,1.07888172907022e-07,1.00318688189554e-07,1.00318688189554e-07,46.57655748769503
2026-02-16,1.00318688189554e-07,1.00318688189554e-07,1.00065643598112e-07,1.00065643598112e-07,0.0382904752802125
2026-02-17,1.00065643598112e-07,1.03974107428928e-07,1.00065643598112e-07,1.01987638924636e-07,16.063548497818903
2026-02-18,1.01987638924636e-07,1.03602633341013e-07,9.91602039358307e-08,9.94228229554518e-08,16.067956136483865
2026-02-19,9.94228229554518e-08,1.0084782462931e-07,9.8081250557914e-08,9.92264171317279e-08,37.932199148371375
2026-02-20,9.92264171317279e-08,1.02763239064087e-07,9.92264171317279e-08,1.02763239064087e-07,0.911926789723616
2026-02-21,1.02763239064087e-07,1.03948654964944e-07,1.00773584055623e-07,1.03948654964944e-07,74.58199215231933
2026-02-22,1.03948654964944e-07,1.03948654964944e-07,1.00711784360721e-07,1.00711784360721e-07,42.503900474296145
2026-02-23,1.00711784360721e-07,1.00711784360721e-07,9.64073093986112e-08,9.64362644555135e-08,46.53932482863133
2026-02-24,9.64362644555135e-08,1.00216641281321e-07,9.32023366043428e-08,9.90522329367053e-08,137.62943117845384
2026-02-25,9.90522329367053e-08,1.12450753501072e-07,9.90522329367053e-08,1.12450753501072e-07,143.68236694953816
2026-02-26,1.12450753501072e-07,1.12624504688839e-07,1.1042290389919e-07,1.1042290389919e-07,53.01240844581302
2026-02-27,1.1042290389919e-07,1.1042290389919e-07,1.03501062381478e-07,1.03501062381478e-07,15.22331062201981
2026-02-28,1.03501062381478e-07,1.06675561668154e-07,9.89792589810802e-08,1.06675561668154e-07,100.92069294794796
2026-03-01,1.06675561668154e-07,1.10287430844995e-07,1.04055618313553e-07,1.0431803055376e-07,22.458010409240423
2026-03-02,1.0431803055376e-07,1.0860085764226e-07,1.04163901953159e-07,1.08195872575941e-07,35.22040140830429
2026-03-03,1.08195872575941e-07,1.08195872575941e-07,1.06919275680219e-07,1.06919275680219e-07,5.06164290675273
2026-03-04,1.06919275680219e-07,1.1665830123178e-07,1.04966500507745e-07,1.14517103356566e-07,86.46360732292406
2026-03-05,1.14517103356566e-07,1.14517103356566e-07,1.10429675194278e-07,1.10429675194278e-07,24.919263346389812
2026-03-06,1.10429675194278e-07,1.10429675194278e-07,1.06237334869014e-07,1.06237334869014e-07,16.38450086714449
2026-03-07,1.06237334869014e-07,1.06237334869014e-07,1.02751125329121e-07,1.03054126049502e-07,31.04273207579977
2026-03-08,1.03054126049502e-07,1.03054126049502e-07,1.02057085192697e-07,1.02057085192697e-07,16.91158349121794
2026-03-09,1.02057085192697e-07,1.04503081764421e-07,1.0141986815953e-07,1.04042852522101e-07,39.8134780154967
2026-03-10,1.04042852522101e-07,1.0770879347244e-07,1.03547371559747e-07,1.0770879347244e-07,31.80967329834632
2026-03-11,1.0770879347244e-07,1.0770879347244e-07,1.04621010191791e-07,1.05220019355839e-07,12.95276042389938
2026-03-13,1.05220019355839e-07,1.13529022149307e-07,1.05220019355839e-07,1.08024715571127e-07,39.50380142905117
2026-03-14,1.08024715571127e-07,1.08024715571127e-07,1.05965660065792e-07,1.06092090755347e-07,31.41092777415246
2026-03-16,1.06092090755347e-07,1.17947851515902e-07,1.06092090755347e-07,1.17947851515902e-07,53.78512002721935
2026-03-17,1.17947851515902e-07,1.17947851515902e-07,1.15016344723838e-07,1.15030761393197e-07,50.85176866847225
2026-03-20,1.15030761393197e-07,1.15030761393197e-07,1.0623163424355e-07,1.07678147982602e-07,6.96413734946211
2026-03-23,1.07678147982602e-07,1.13184604566595e-07,1.07333673178285e-07,1.12918848302614e-07,177.01546099532294
2026-03-24,1.12918848302614e-07,1.12918848302614e-07,1.06187192322309e-07,1.06874169288277e-07,146.04052865762733
2026-03-25,1.06874169288277e-07,1.10054838028639e-07,1.06874169288277e-07,1.09331066013396e-07,44.65961447922689
2026-03-26,1.09331066013396e-07,1.09331066013396e-07,1.04370776763574e-07,1.04811909497323e-07,7.60048826201002
2026-03-27,1.04811909497323e-07,1.05648378714593e-07,1.04765011754029e-07,1.05648378714593e-07,24.94872082241617
2026-03-28,1.05648378714593e-07,1.05648378714593e-07,1.03324734052729e-07,1.03324734052729e-07,5.35219742812948
2026-03-29,1.03324734052729e-07,1.03745532801754e-07,1.03324734052729e-07,1.03745532801754e-07,0.413776305177102
2026-03-30,1.03745532801754e-07,1.05572049793799e-07,1.02625079269017e-07,1.02625079269017e-07,40.9876015344688
2026-03-31,1.02625079269017e-07,1.0601584459522e-07,1.02162407464705e-07,1.0601584459522e-07,10.26820577922307
