date,open,high,low,close,volume_usd
2025-08-27,4629.42,4642.91,4492.58,4497.62,6128.503604617084
2025-08-28,4497.62,4627.61,4438.98,4509.54,3812606.2491247724
2025-08-29,4509.54,4511.24,4279.07,4360.11,5418655.8184965085
2025-08-30,4360.11,4410.96,4267.24,4373.93,6596017.570935233
2025-08-31,4373.93,4494.89,4373.45,4389.69,10291535.195895689
2025-09-01,4389.69,4486.81,4236.14,4313.76,13834975.639898516
2025-09-02,4313.76,4414.66,4264.3,4324.69,17651860.44075729
2025-09-03,4324.69,4487.28,4285.36,4449.51,12258764.916807845
2025-09-04,4449.51,4481.97,4269.2,4297.13,17360860.3661285
2025-09-05,4297.13,4475.13,4260.85,4306.71,23633735.06625817
2025-09-06,4306.71,4327.98,4249.6,4274.54,17530818.12977571
2025-09-07,4274.54,4332.01,4271.69,4305.7,26094762.74438811
2025-09-08,4305.7,4381.84,4281.13,4307.64,30967997.429056548
2025-09-09,4307.64,4379.78,4278.9,4308.99,31954125.919424318
2025-09-10,4308.99,4449.04,4285.73,4349.0,25026577.01391219
2025-09-11,4349.0,4469.85,4340.12,4460.94,25279745.683241963
2025-09-12,4460.94,4721.69,4453.61,4714.1,23530221.2664143
2025-09-13,4714.1,4763.03,4612.04,4669.67,22820745.7839102
2025-09-14,4669.67,4690.19,4581.97,4607.96,26649112.187919796
2025-09-15,4607.96,4669.32,4471.64,4526.5,29646588.516855214
2025-09-16,4526.5,4536.51,4428.91,4502.35,32756271.401512567
2025-09-17,4502.35,4614.28,4433.64,4591.95,38580300.38867267
2025-09-18,4591.95,4645.67,4556.91,4589.18,42260807.92248734
2025-09-19,4589.18,4621.21,4443.25,4470.11,30928223.027230654
2025-09-20,4470.11,4508.93,4457.77,4481.6,32455006.657924667
2025-09-21,4481.6,4498.78,4446.37,4449.37,43155776.33957806
2025-09-22,4449.37,4455.37,4116.6,4201.78,28361939.24882173
2025-09-23,4201.78,4224.58,4123.61,4164.72,60555362.157841876
2025-09-24,4164.72,4202.88,4099.91,4153.58,65604909.763101734
2025-09-25,4153.58,4160.79,3830.6,3868.21,46556503.78935034
2025-09-26,3868.21,4065.85,3868.21,4034.45,36307117.99470596
2025-09-27,4034.45,4034.45,3975.51,4017.92,41798964.34715153
2025-09-28,4017.92,4143.73,3970.19,4142.72,46527642.23517781
2025-09-29,4142.72,4233.58,4088.73,4216.82,59298662.14130409
2025-09-30,4216.82,4232.21,4094.89,4145.44,45095907.91528869
2025-10-01,4145.44,4348.1,4126.39,4348.1,43216668.94856015
2025-10-02,4348.1,4515.7,4334.97,4485.89,50150065.72382109
2025-10-03,4485.89,4585.95,4433.05,4514.75,60133136.48834429
2025-10-04,4514.75,4518.58,4445.12,4488.72,46145139.47487238
2025-10-05,4488.72,4614.14,4472.17,4514.28,75771583.21610355
2025-10-06,4514.28,4735.04,4492.96,4688.4,76624368.00814088
2025-10-07,4688.4,4754.0,4446.49,4450.19,67381784.2397854
2025-10-08,4450.19,4556.68,4420.95,4526.8,65364773.25313693
2025-10-09,4526.8,4530.8,4277.4,4368.4,35142445.205089375
2025-10-10,4368.4,4394.09,3574.79380067792,3835.63284205013,63567905.8067599
2025-10-11,3835.63284205013,3876.76247413933,3659.82,3749.81,72848124.52483766
2025-10-12,3749.81,4181.1,3703.79,4161.88,63622754.82671906
2025-10-13,4161.88,4288.91,4066.2,4244.61,80257921.80590782
2025-10-14,4244.61,4261.55,3901.89,4124.98,65106442.121584654
2025-10-15,4124.98,4204.56,3937.31,3986.64,58383578.50060252
2025-10-16,3986.64,4076.19,3835.13,3894.11,60013377.702045195
2025-10-17,3894.11,3947.1,3686.97,3832.1,36404157.213373214
2025-10-18,3832.1,3924.64,3822.57,3889.45,21928477.249025483
2025-10-19,3889.45,4026.7,3853.24,3984.06,45398124.42792252
2025-10-20,3984.06,4082.55,3912.68,3980.21,41205892.78491128
2025-10-21,3980.21,4106.4,3846.04,3870.8,57543990.05217881
2025-10-22,3870.8,3887.65,3724.27,3805.88,44337016.79840381
2025-10-23,3805.88,3926.8,3802.21,3856.19,51938878.73829571
2025-10-24,3856.19,3996.97,3849.18,3934.77,42323468.75729374
2025-10-25,3934.77,3964.64,3916.66,3951.89,58532029.01690565
2025-10-26,3951.89,4174.49,3925.69,4157.45,54412578.92807849
2025-10-27,4157.45,4249.69,4105.45,4119.84,73591069.36552753
2025-10-28,4119.84,4173.37,3946.77,3980.97,61645836.78507211
2025-10-29,3980.97,4034.25,3860.77,3902.13,44097071.585193746
2025-10-30,3902.13,3947.09,3685.21,3804.28,47140954.88461289
2025-10-31,3804.28,3897.12,3798.23,3846.68,38821979.664258555
2025-11-01,3846.68,3901.35,3833.45,3874.14,43217370.30414495
2025-11-02,3874.14,3913.56,3840.91,3909.08,47758651.22026709
2025-11-03,3909.08,3912.05,3565.88,3601.81,68634031.9155062
